??,??,????,????,??,??,???,???,??,?????%,????,??
????,??,2026-02-23 12:00,2026-02-23 14:30,64892.71,65476.74,65476.74,64230.16,????,-100.00,2.50,4H??40??
????,??,2026-02-24 12:00,2026-02-24 12:15,63555.84,62913.23,64127.85,62906.94,??,91.16,0.25,4H??40??
????,??,2026-02-24 16:00,2026-02-24 21:30,63153.98,62515.43,63722.37,62509.18,??,91.16,5.50,4H??40??
????,??,2026-03-04 20:00,2026-03-04 22:15,71095.51,71814.21,70455.65,71821.39,??,91.04,2.25,4H??40??
????,??,2026-03-05 00:00,2026-03-05 00:00,73359.54,72699.30,72699.30,74108.54,????,-100.00,0.00,4H??40??
????,??,2026-03-05 04:00,2026-03-05 05:00,73594.76,72932.41,72932.41,74346.16,????,-100.00,1.00,4H??40??
????,??,2026-03-13 20:00,2026-03-13 21:15,72207.22,72937.16,71557.36,72944.46,??,91.04,1.25,4H??40??
????,??,2026-03-17 08:00,2026-03-17 09:00,74849.68,75606.34,74176.04,75613.90,??,91.04,1.00,4H??40??
????,??,2026-03-22 20:00,2026-03-22 21:00,68175.28,68788.86,68788.86,67479.21,????,-100.00,1.00,4H??40??
????,??,2026-03-23 08:00,2026-03-23 11:00,67824.12,68434.53,68434.53,67131.63,????,-100.00,3.00,4H??40??
????,??,2026-03-27 20:00,2026-03-27 21:45,66653.23,65979.30,67253.11,65972.70,??,91.16,1.75,4H??40??
????,??,2026-03-28 00:00,2026-03-28 21:30,66084.89,66679.65,66679.65,65410.16,????,-100.00,21.50,4H??40??
????,??,2026-04-06 20:00,2026-04-07 00:45,69599.36,70302.94,68972.97,70309.97,??,91.04,4.75,4H??40??
????,??,2026-04-08 08:00,2026-04-08 10:30,71911.89,71264.68,71264.68,72646.11,????,-100.00,2.50,4H??40??
????,??,2026-04-12 04:00,2026-04-12 07:00,73666.97,73003.96,73003.96,74419.11,????,-100.00,3.00,4H??40??
????,??,2026-04-14 08:00,2026-04-14 21:30,74392.84,75144.87,73723.30,75152.39,??,91.04,13.50,4H??40??
????,??,2026-04-15 00:00,2026-04-15 00:45,75287.93,74610.34,74610.34,76056.62,????,-100.00,0.75,4H??40??
????,??,2026-04-18 00:00,2026-04-18 03:00,77747.87,77048.14,77048.14,78541.68,????,-100.00,3.00,4H??40??
????,??,2026-04-23 00:00,2026-04-23 04:15,79241.02,78527.85,78527.85,80050.07,????,-100.00,4.25,4H??40??
????,??,2026-05-04 12:00,2026-05-04 14:15,80292.73,79570.09,79570.09,81112.52,????,-100.00,2.25,4H??40??
????,??,2026-05-05 12:00,2026-05-05 21:15,80856.68,81674.06,80128.97,81682.23,??,91.04,9.25,4H??40??
????,??,2026-05-06 00:00,2026-05-06 07:30,81492.55,80759.12,80759.12,82324.59,????,-100.00,7.50,4H??40??
????,??,2026-05-06 20:00,2026-05-06 21:30,82498.25,81755.76,81755.76,83340.56,????,-100.00,1.50,4H??40??
????,??,2026-05-16 16:00,2026-05-18 07:30,78325.57,77533.62,79030.50,77525.86,??,91.16,39.50,4H??40??
????,??,2026-05-18 08:00,2026-05-18 14:00,77407.26,76624.59,78103.92,76616.93,??,91.16,6.00,4H??40??
????,??,2026-05-19 00:00,2026-05-19 04:15,76376.36,77063.75,77063.75,75596.56,????,-100.00,4.25,4H??40??
????,??,2026-05-23 04:00,2026-05-23 15:45,75822.82,75056.17,76505.22,75048.67,??,91.16,11.75,4H??40??
????,??,2026-05-23 08:00,2026-05-23 15:45,75501.15,74737.76,76180.66,74730.28,??,91.16,7.75,4H??40??
????,??,2026-05-23 16:00,2026-05-23 22:15,74568.84,75239.96,75239.96,73807.49,????,-100.00,6.25,4H??40??
????,??,2026-05-28 12:00,2026-05-29 05:30,73220.68,73879.66,73879.66,72473.09,????,-100.00,17.50,4H??40??
????,??,2025-08-01 20:00,2025-08-01 21:45,115255.52,114218.22,114218.22,116432.28,????,-100.00,1.75,???60????
????,??,2025-08-02 00:00,2025-08-02 02:00,115324.13,114286.21,114286.21,116501.59,????,-100.00,2.00,???60????
????,??,2025-08-11 16:00,2025-08-11 19:45,121533.75,120304.92,122627.55,120292.89,??,91.16,3.75,???60????
????,??,2025-08-30 08:00,2025-08-30 09:45,108346.63,107371.51,107371.51,109452.85,????,-100.00,1.75,???60????
????,??,2025-08-30 12:00,2025-09-01 10:45,108397.24,107421.66,107421.66,109503.97,????,-100.00,46.75,???60????
????,??,2025-09-12 12:00,2025-09-13 02:15,115131.59,116167.77,116167.77,113956.09,????,-100.00,14.25,???60????
????,??,2025-11-04 20:00,2025-11-04 21:15,104547.25,103606.33,103606.33,105614.68,????,-100.00,1.25,???60????
????,??,2025-11-05 08:00,2025-11-05 08:30,101446.54,100533.52,100533.52,102482.31,????,-100.00,0.50,???60????
????,??,2025-11-05 12:00,2025-11-05 16:15,102096.01,101177.14,101177.14,103138.41,????,-100.00,4.25,???60????
????,??,2025-11-08 00:00,2025-11-08 01:15,100760.18,101778.76,99853.33,101788.94,??,91.04,1.25,???60????
????,??,2025-11-15 00:00,2025-11-15 01:45,96761.58,95890.72,95890.72,97749.51,????,-100.00,1.75,???60????
????,??,2025-11-17 08:00,2025-11-17 08:45,94233.82,95186.43,93385.72,95195.95,??,91.04,0.75,???60????
????,??,2025-12-16 08:00,2025-12-16 09:30,86399.64,85622.04,85622.04,87281.78,????,-100.00,1.50,???60????
????,??,2026-01-06 08:00,2026-01-07 00:15,93808.52,92860.02,94652.79,92850.73,??,91.16,16.25,???60????
????,??,2026-01-07 00:00,2026-01-07 00:30,93595.64,92649.29,94438.00,92640.03,??,91.16,0.50,???60????
????,??,2026-01-15 08:00,2026-01-15 11:15,96904.81,95925.00,97776.95,95915.41,??,91.16,3.25,???60????
????,??,2026-02-02 16:00,2026-02-02 17:30,76611.56,77386.03,75922.06,77393.76,??,91.04,1.50,???60????
????,??,2026-02-24 20:00,2026-02-24 21:30,63200.52,62631.71,62631.71,63845.80,????,-100.00,1.50,???60????
????,??,2026-03-16 16:00,2026-03-16 21:30,73421.46,74082.25,74082.25,72671.82,????,-100.00,5.50,???60????
????,??,2026-03-17 00:00,2026-03-17 00:45,73233.48,73892.58,73892.58,72485.76,????,-100.00,0.75,???60????
????,??,2026-03-17 12:00,2026-03-17 18:00,74431.36,73678.78,75101.24,73671.41,??,91.16,6.00,???60????
????,??,2026-04-09 00:00,2026-04-09 01:30,71258.17,71899.50,71899.50,70530.63,????,-100.00,1.50,???60????
????,??,2026-04-10 08:00,2026-04-10 20:30,71751.92,72397.69,72397.69,71019.34,????,-100.00,12.50,???60????
????,??,2026-04-14 20:00,2026-04-14 21:30,74342.57,75011.65,75011.65,73583.53,????,-100.00,1.50,???60????
????,??,2026-05-05 16:00,2026-05-05 21:00,80813.72,81541.04,81541.04,79988.61,????,-100.00,5.00,???60????
????,??,2026-05-18 16:00,2026-05-18 22:15,77044.60,76351.20,76351.20,77831.23,????,-100.00,6.25,???60????
????,??,2026-05-23 12:00,2026-05-23 15:45,75612.66,74932.15,74932.15,76384.67,????,-100.00,3.75,???60????
????,??,2026-05-23 20:00,2026-05-23 22:45,74761.38,75517.14,74088.52,75524.69,??,91.04,2.75,???60????
????,??,2026-05-28 16:00,2026-05-28 21:30,73464.75,72803.56,72803.56,74214.82,????,-100.00,5.50,???60????
