score,??,??,??,??,??,PF,????,????,????,????,????,????,????,??,???,??R
-7.9226,??????_w40_ATR2.4_RSI54/46_8x_8%_3.5R_???,25,28.0,9.92,10.41,1.28,64.51,-19.58,6,8,6.29,10.44,-2.57,8,0.08,3.5
-7.9226,??????_w40_ATR2.4_RSI56/44_8x_8%_3.5R_???,25,28.0,9.92,10.41,1.28,64.51,-19.58,6,8,6.29,10.44,-2.57,8,0.08,3.5
-8.1397,??????_w40_ATR2.4_RSI52/48_8x_10%_3.2R_???,26,30.77,12.96,12.92,1.28,73.48,-25.46,4,9,4.02,12.92,1.64,8,0.1,3.2
-8.1397,??????_w40_ATR2.4_RSI52/48_10x_8%_3.2R_???,26,30.77,12.96,12.92,1.28,73.48,-25.46,4,9,4.02,12.92,1.64,10,0.08,3.2
-8.1397,??????_w40_ATR2.4_RSI54/46_8x_10%_3.2R_???,26,30.77,12.96,12.92,1.28,73.48,-25.46,4,9,4.02,12.92,1.64,8,0.1,3.2
-8.1397,??????_w40_ATR2.4_RSI54/46_10x_8%_3.2R_???,26,30.77,12.96,12.92,1.28,73.48,-25.46,4,9,4.02,12.92,1.64,10,0.08,3.2
-8.1397,??????_w40_ATR2.4_RSI56/44_8x_10%_3.2R_???,26,30.77,12.96,12.92,1.28,73.48,-25.46,4,9,4.02,12.92,1.64,8,0.1,3.2
-8.1397,??????_w40_ATR2.4_RSI56/44_10x_8%_3.2R_???,26,30.77,12.96,12.92,1.28,73.48,-25.46,4,9,4.02,12.92,1.64,10,0.08,3.2
-8.5149,??????_w45_ATR2.2_RSI52/48_8x_12%_3.5R_???,27,29.63,13.86,14.18,1.26,84.92,-28.46,4,9,6.51,14.18,-1.19,8,0.12,3.5
-8.5149,??????_w45_ATR2.2_RSI54/46_8x_12%_3.5R_???,27,29.63,13.86,14.18,1.26,84.92,-28.46,4,9,6.51,14.18,-1.19,8,0.12,3.5
-8.5149,??????_w45_ATR2.2_RSI56/44_8x_12%_3.5R_???,27,29.63,13.86,14.18,1.26,84.92,-28.46,4,9,6.51,14.18,-1.19,8,0.12,3.5
-8.5149,??????_w45_ATR2.2_RSI52/48_12x_8%_3.5R_???,27,29.63,13.86,14.18,1.26,84.92,-28.46,4,9,6.51,14.18,-1.19,12,0.08,3.5
-8.5149,??????_w45_ATR2.2_RSI54/46_12x_8%_3.5R_???,27,29.63,13.86,14.18,1.26,84.92,-28.46,4,9,6.51,14.18,-1.19,12,0.08,3.5
