策略,退出,杠杆,保证金,交易数,胜率,全年收益,最终权益,最大回撤,后1/3交易数,后1/3收益,盈亏因子,平均盈利,平均亏损,最大连亏,止盈,信号退出,止损,时间退出,强平,平均持仓小时
CCI_BB_15m,固定2%止盈_1.5%止损,5x,20%,392,41.58%,-49.03%,509.72,54.10%,164,-18.02%,0.81,12.69,-11.18,7,162,0,228,1,0,17.05
CCI_BB_15m,固定3%止盈_2%止损,3x,10%,233,37.34%,-15.93%,840.74,19.69%,103,-4.24%,0.81,7.62,-5.63,16,85,0,144,3,0,32.17
CCI_BB_15m,固定3%止盈_2%止损,3x,20%,233,37.34%,-30.17%,698.30,36.06%,103,-8.79%,0.80,13.55,-10.14,16,85,0,144,3,0,32.17
CCI_BB_15m,固定3%止盈_2%止损,5x,10%,233,37.34%,-25.61%,743.87,30.95%,103,-7.24%,0.80,11.74,-8.75,16,85,0,144,3,0,32.17
CCI_BB_15m,固定3%止盈_2%止损,5x,20%,233,37.34%,-46.50%,535.01,53.44%,103,-15.24%,0.78,19.34,-14.71,16,85,0,144,3,0,32.17
CCI_BB_15m,信号退出_2%止损,3x,10%,629,76.95%,-18.93%,810.69,20.06%,242,-4.28%,0.77,1.30,-5.65,7,0,484,145,0,0,6.47
CCI_BB_15m,信号退出_2%止损,3x,20%,629,76.95%,-34.80%,651.96,36.51%,242,-8.68%,0.76,2.31,-10.11,7,0,484,145,0,0,6.47
CCI_BB_15m,信号退出_2%止损,5x,10%,629,76.95%,-29.83%,701.71,31.39%,242,-7.20%,0.76,2.00,-8.74,7,0,484,145,0,0,6.47
CCI_BB_15m,信号退出_2%止损,5x,20%,629,76.95%,-51.85%,481.50,53.78%,242,-14.70%,0.76,3.30,-14.60,7,0,484,145,0,0,6.47
CCI_BB_15m,自定义锁盈_4%止损,3x,10%,430,86.28%,-14.95%,850.50,16.71%,158,-6.08%,0.77,1.37,-11.17,3,0,371,58,0,0,12.22
CCI_BB_15m,自定义锁盈_4%止损,3x,20%,430,86.28%,-28.45%,715.54,31.32%,158,-12.19%,0.77,2.50,-20.54,3,0,371,58,0,0,12.22
CCI_BB_15m,自定义锁盈_4%止损,5x,10%,430,86.28%,-24.11%,758.88,26.67%,158,-10.15%,0.77,2.15,-17.61,3,0,371,58,0,0,12.22
CCI_BB_15m,自定义锁盈_4%止损,5x,20%,430,86.28%,-44.14%,558.60,47.71%,158,-20.33%,0.75,3.66,-30.52,3,0,371,58,0,0,12.22
CCI_BB_15m,信号退出_8%止损,3x,10%,193,89.12%,-13.60%,864.01,17.03%,94,-5.60%,0.71,1.90,-22.05,2,0,172,20,0,0,36.34
CCI_BB_15m,信号退出_8%止损,3x,20%,193,89.12%,-26.37%,736.33,31.98%,94,-11.45%,0.69,3.45,-40.81,2,0,172,20,0,0,36.34
CCI_BB_15m,信号退出_8%止损,5x,10%,193,89.12%,-22.21%,777.86,27.22%,94,-9.48%,0.70,2.97,-34.91,2,0,172,20,0,0,36.34
CCI_BB_15m,信号退出_8%止损,5x,20%,193,89.12%,-41.83%,581.71,48.84%,94,-19.51%,0.67,5.02,-61.08,2,0,172,20,0,0,36.34
CCI_BB_15m,固定2%止盈_4%止损,3x,10%,186,63.44%,-14.60%,853.96,19.41%,80,-5.85%,0.80,5.10,-10.99,4,118,0,66,1,0,39.41
CCI_BB_15m,固定2%止盈_4%止损,3x,20%,186,63.44%,-28.09%,719.07,35.75%,80,-11.88%,0.79,9.15,-20.01,4,118,0,66,1,0,39.41
CCI_BB_15m,固定2%止盈_4%止损,5x,10%,186,63.44%,-23.73%,762.68,30.63%,80,-9.85%,0.80,7.91,-17.21,4,118,0,66,1,0,39.41
CCI_BB_15m,固定2%止盈_4%止损,5x,20%,186,63.44%,-44.08%,559.20,53.31%,80,-20.08%,0.78,13.18,-29.36,4,118,0,66,1,0,39.41
CCI_BB_15m,自定义锁盈_8%止损,3x,10%,193,89.12%,-13.60%,864.01,17.03%,94,-5.60%,0.71,1.90,-22.05,2,0,172,20,0,0,36.34
CCI_BB_15m,自定义锁盈_8%止损,3x,20%,193,89.12%,-26.37%,736.33,31.98%,94,-11.45%,0.69,3.45,-40.81,2,0,172,20,0,0,36.34
CCI_BB_15m,自定义锁盈_8%止损,5x,10%,193,89.12%,-22.21%,777.86,27.22%,94,-9.48%,0.70,2.97,-34.91,2,0,172,20,0,0,36.34
CCI_BB_15m,自定义锁盈_8%止损,5x,20%,193,89.12%,-41.83%,581.71,48.84%,94,-19.51%,0.67,5.02,-61.08,2,0,172,20,0,0,36.34
CCI_BB_15m,自定义锁盈_12%止损,3x,10%,155,93.55%,-8.96%,910.37,15.12%,70,-1.75%,0.74,1.76,-34.50,2,0,143,11,0,0,47.90
CCI_BB_15m,自定义锁盈_12%止损,3x,20%,155,93.55%,-18.30%,816.96,28.69%,70,-4.00%,0.72,3.32,-66.42,2,0,143,11,0,0,47.90
CCI_BB_15m,自定义锁盈_12%止损,5x,10%,155,93.55%,-15.16%,848.38,24.33%,70,-3.20%,0.73,2.82,-56.08,2,0,143,11,0,0,47.90
CCI_BB_15m,自定义锁盈_12%止损,5x,20%,155,93.55%,-30.98%,690.23,44.52%,70,-7.78%,0.70,5.07,-104.52,2,0,143,11,0,0,47.90
FisherHull_15m,固定1%止盈_1%止损,3x,10%,913,47.97%,-34.09%,659.13,34.44%,380,-15.05%,0.73,2.16,-2.71,8,437,0,475,1,0,6.11
FisherHull_15m,固定1%止盈_1%止损,3x,20%,913,47.97%,-56.92%,430.82,57.37%,380,-28.09%,0.73,3.54,-4.46,8,437,0,475,1,0,6.11
FisherHull_15m,固定1%止盈_1%止损,5x,10%,913,47.97%,-50.31%,496.89,50.75%,380,-23.95%,0.73,3.14,-3.96,8,437,0,475,1,0,6.11
FisherHull_15m,固定1%止盈_1%止损,5x,20%,913,47.97%,-75.88%,241.20,76.30%,380,-42.72%,0.73,4.64,-5.88,8,437,0,475,1,0,6.11
