策略,杠杆,保证金比例,止盈R,最长持仓小时,交易,胜率,收益,最大回撤,盈亏比,平均盈利U,平均亏损U,最大连亏,强平,测试段交易,测试段收益,测试段回撤,测试段平均盈利U
动量突破_15x_8%_1.5R_8H,15,0.0800,1.5,8.0,154,37.66,-48.23,48.95,0.47,7.29,-9.43,10,0,52,-24.95,30.56,11.43
动量突破_10x_12%_1.5R_8H,10,0.1200,1.5,8.0,154,37.66,-48.23,48.95,0.47,7.29,-9.43,10,0,52,-24.95,30.56,11.43
趋势回踩_15x_12%_1.5R_不限时,15,0.1200,1.5,,80,37.50,-39.89,44.71,0.76,43.26,-33.93,7,1,32,-10.58,26.82,60.91
摸底摸顶_30x_20%_1.2R_不限时,30,0.2000,1.2,,26,34.62,-46.22,46.22,0.56,65.22,-61.72,4,0,13,-32.07,41.29,85.55
趋势回踩_10x_20%_1.2R_12H,10,0.2000,1.2,12.0,181,43.65,-47.93,52.72,0.72,15.24,-16.50,9,0,68,-23.01,32.97,19.62
趋势回踩_20x_10%_1.2R_12H,20,0.1000,1.2,12.0,181,43.65,-47.93,52.72,0.72,15.24,-16.50,9,0,68,-23.01,32.97,19.62
趋势回踩_20x_15%_1.5R_24H,20,0.1500,1.5,24.0,135,41.48,-54.73,60.56,0.77,31.87,-29.52,10,0,50,-8.56,43.38,61.02
趋势回踩_15x_20%_1.5R_24H,15,0.2000,1.5,24.0,135,41.48,-54.73,60.56,0.77,31.87,-29.52,10,0,50,-8.56,43.38,61.02
动量突破_15x_5%_1R_不限时,15,0.0500,1.0,,138,47.83,-28.46,34.33,0.77,14.64,-17.37,8,1,44,-18.78,31.24,19.23
趋势突破_15x_15%_2R_8H,15,0.1500,2.0,8.0,88,36.36,-52.11,52.11,0.46,13.80,-17.19,11,0,30,-20.56,32.00,25.53
趋势突破_15x_15%_2.5R_8H,15,0.1500,2.5,8.0,88,36.36,-52.11,52.11,0.46,13.80,-17.19,11,0,30,-20.56,32.00,25.53
趋势突破_15x_15%_3R_8H,15,0.1500,3.0,8.0,88,36.36,-52.11,52.11,0.46,13.80,-17.19,11,0,30,-20.56,32.00,25.53
趋势回踩_10x_25%_1.2R_24H,10,0.2500,1.2,24.0,136,41.18,-56.60,59.62,0.71,24.38,-24.14,10,0,51,-11.28,37.26,48.49
趋势回踩_10x_15%_0.8R_不限时,10,0.1500,0.8,,105,50.48,-47.55,50.92,0.68,19.20,-28.71,6,0,38,-27.00,31.78,24.03
趋势回踩_10x_25%_3R_不限时,10,0.2500,3.0,,52,25.00,-49.31,61.98,0.70,89.93,-42.62,8,0,19,-9.85,53.75,150.36
摸底摸顶_50x_8%_1.2R_4H,50,0.0800,1.2,4.0,29,31.03,-24.98,26.54,0.49,27.09,-24.68,6,2,13,-7.67,14.17,22.27
趋势回踩_10x_20%_1R_24H,10,0.2000,1.0,24.0,139,41.01,-54.00,55.76,0.68,20.26,-20.67,10,0,53,-18.61,33.02,32.87
