??,??,????,????,??,??,???,????,??,?????%,????,RSI,ATR%,????%,??
????,??,2025-11-14 16:00,2025-11-14 20:30,97076.59,95038.80,98823.97,95029.30,??,100.01,4.50,31.69,1.88,0.86,4H??40??
????,??,2025-11-18 04:00,2025-11-18 11:30,91642.03,89718.33,93291.59,89709.35,??,100.01,7.50,28.16,1.76,1.36,4H??40??
????,??,2025-11-18 12:00,2025-11-18 23:15,90798.22,92432.59,92432.59,88883.33,????,-100.00,11.25,27.84,1.82,0.49,4H??40??
????,??,2025-11-20 04:00,2025-11-20 05:15,88839.82,90438.93,90438.93,86966.23,????,-100.00,1.25,28.11,1.81,0.45,4H??40??
????,??,2025-11-21 04:00,2025-11-21 15:30,86870.11,85046.57,88433.77,85038.07,??,100.01,11.50,30.19,2.15,1.89,4H??40??
????,??,2025-11-21 12:00,2025-11-21 15:30,85781.62,83980.93,87325.69,83972.53,??,100.01,3.50,27.89,2.21,0.31,4H??40??
????,??,2025-11-21 16:00,2025-11-21 17:45,83991.60,82228.48,85503.45,82220.26,??,100.01,1.75,24.52,2.53,1.52,4H??40??
????,??,2025-12-02 00:00,2025-12-02 05:15,84628.44,86151.75,86151.75,82843.67,????,-100.00,5.25,23.74,1.52,1.08,4H??40??
????,??,2025-12-15 08:00,2025-12-15 10:15,88105.69,89691.59,89691.59,86247.59,????,-100.00,2.25,31.49,1.15,0.32,4H??40??
????,??,2025-12-16 00:00,2025-12-16 02:30,86975.70,85149.95,88541.26,85141.43,??,100.01,2.50,31.95,1.34,0.62,4H??40??
????,??,2025-12-16 04:00,2025-12-16 21:30,86087.69,87637.27,87637.27,84272.15,????,-100.00,17.50,28.74,1.43,0.56,4H??40??
????,??,2025-12-19 04:00,2025-12-19 11:00,84424.56,85944.20,85944.20,82644.09,????,-100.00,7.00,35.20,1.82,0.77,4H??40??
????,??,2026-01-04 12:00,2026-01-05 09:30,91203.72,93119.77,89562.05,93129.08,??,99.99,21.50,70.93,0.88,0.29,4H??40??
????,??,2026-01-05 12:00,2026-01-07 23:15,92853.38,91182.02,91182.02,94813.57,????,-100.00,59.25,76.91,0.86,1.13,4H??40??
????,??,2026-01-06 00:00,2026-01-07 01:30,93918.39,92227.86,92227.86,95901.06,????,-100.00,25.50,78.20,0.92,0.55,4H??40??
????,??,2026-01-06 04:00,2026-01-07 00:30,94254.42,92557.84,92557.84,96244.19,????,-100.00,20.50,79.42,0.95,0.27,4H??40??
????,??,2026-01-14 04:00,2026-01-14 06:00,94190.42,96169.21,92494.99,96178.83,??,99.99,2.00,71.60,1.02,0.50,4H??40??
????,??,2026-01-14 08:00,2026-01-15 00:00,95403.74,97408.02,93686.47,97417.77,??,99.99,16.00,76.35,1.15,1.26,4H??40??
????,??,2026-01-15 04:00,2026-01-15 23:45,97222.92,95472.91,95472.91,99275.35,????,-100.00,19.75,76.68,1.20,0.16,4H??40??
????,??,2026-01-21 04:00,2026-01-21 06:30,89670.93,87788.60,91285.01,87779.82,??,100.01,2.50,21.03,1.06,0.14,4H??40??
????,??,2026-01-21 08:00,2026-01-21 13:45,88378.46,89969.27,89969.27,86514.61,????,-100.00,5.75,17.29,1.17,0.94,4H??40??
????,??,2026-01-26 04:00,2026-01-26 15:15,86456.25,88012.47,88012.47,84632.94,????,-100.00,11.25,22.90,1.00,0.84,4H??40??
????,??,2026-01-30 00:00,2026-01-30 09:30,84893.01,83110.97,86421.08,83102.66,??,100.01,9.50,27.38,1.45,1.32,4H??40??
????,??,2026-01-30 04:00,2026-01-30 09:30,83959.80,82197.36,85471.08,82189.14,??,100.01,5.50,24.47,1.56,0.43,4H??40??
????,??,2026-01-30 12:00,2026-01-31 02:45,82623.54,84110.76,84110.76,80881.05,????,-100.00,14.75,24.11,1.77,0.81,4H??40??
????,??,2026-02-01 04:00,2026-02-01 07:15,77704.43,79103.11,79103.11,76065.68,????,-100.00,3.25,18.67,2.29,3.79,4H??40??
????,??,2026-02-05 12:00,2026-02-05 20:15,71187.78,69693.44,72469.16,69686.47,??,100.01,8.25,22.51,2.62,0.87,4H??40??
????,??,2026-02-05 16:00,2026-02-05 20:15,70710.03,69225.71,71982.81,69218.79,??,100.01,4.25,21.58,2.60,0.55,4H??40??
????,??,2026-02-06 00:00,2026-02-06 02:15,67449.75,66033.88,68663.85,66027.28,??,100.01,2.25,16.29,3.00,3.46,4H??40??
????,??,2026-02-06 04:00,2026-02-06 04:15,65234.18,63864.81,66408.39,63858.42,??,100.01,0.25,13.79,3.26,2.14,4H??40??
????,??,2026-02-06 08:00,2026-02-06 08:00,62867.31,61547.63,63998.92,61541.48,??,100.01,0.00,11.72,3.54,3.49,4H??40??
????,??,2026-02-23 12:00,2026-02-23 17:30,64892.71,66060.78,66060.78,63524.16,????,-100.00,5.50,29.73,1.44,1.07,4H??40??
????,??,2026-02-24 12:00,2026-02-25 03:00,63555.84,64699.85,64699.85,62215.49,????,-100.00,15.00,30.50,1.71,0.45,4H??40??
????,??,2026-02-24 16:00,2026-02-25 00:00,63153.98,64290.76,64290.76,61822.10,????,-100.00,8.00,29.01,1.70,0.14,4H??40??
????,??,2026-03-04 20:00,2026-03-04 22:30,71095.51,72589.11,69815.79,72596.37,??,99.99,2.50,66.69,2.26,1.42,4H??40??
????,??,2026-03-05 00:00,2026-03-05 14:00,73359.54,72039.06,72039.06,74908.20,????,-100.00,14.00,72.74,2.32,2.05,4H??40??
????,??,2026-03-05 04:00,2026-03-05 13:45,73594.76,72270.05,72270.05,75148.38,????,-100.00,9.75,73.28,2.29,0.18,4H??40??
????,??,2026-03-13 20:00,2026-03-13 22:15,72207.22,73724.18,70907.49,73731.55,??,99.99,2.25,67.15,1.58,0.29,4H??40??
????,??,2026-03-17 08:00,2026-03-17 21:45,74849.68,73502.39,73502.39,76429.80,????,-100.00,13.75,75.36,1.43,0.46,4H??40??
????,??,2026-03-22 20:00,2026-03-23 19:00,68175.28,69402.44,69402.44,66737.50,????,-100.00,23.00,30.94,1.43,0.01,4H??40??
????,??,2026-03-23 08:00,2026-03-23 19:00,67824.12,69044.95,69044.95,66393.74,????,-100.00,11.00,32.24,1.42,0.25,4H??40??
????,??,2026-03-27 20:00,2026-03-30 06:45,66653.23,65254.08,67852.99,65247.55,??,100.01,58.75,29.68,1.72,0.96,4H??40??
????,??,2026-03-28 00:00,2026-03-28 23:15,66084.89,67274.42,67274.42,64691.20,????,-100.00,23.25,27.53,1.73,0.12,4H??40??
????,??,2026-04-06 20:00,2026-04-07 07:00,69599.36,68346.57,68346.57,71068.64,????,-100.00,11.00,72.57,1.09,0.01,4H??40??
????,??,2026-04-08 08:00,2026-04-09 08:45,71911.89,70617.48,70617.48,73429.99,????,-100.00,24.75,74.86,1.51,2.25,4H??40??
????,??,2026-04-12 04:00,2026-04-12 09:30,73666.97,72340.96,72340.96,75222.12,????,-100.00,5.50,71.92,1.18,0.28,4H??40??
????,??,2026-04-14 08:00,2026-04-14 22:30,74392.84,75955.72,73053.77,75963.31,??,99.99,14.50,69.54,1.33,0.79,4H??40??
????,??,2026-04-15 00:00,2026-04-15 02:45,75287.93,73932.75,73932.75,76877.30,????,-100.00,2.75,72.72,1.31,0.48,4H??40??
????,??,2026-04-18 00:00,2026-04-18 18:00,77747.87,76348.41,76348.41,79389.17,????,-100.00,18.00,73.70,1.41,1.82,4H??40??
????,??,2026-04-23 00:00,2026-04-23 08:15,79241.02,77814.68,77814.68,80913.85,????,-100.00,8.25,69.81,1.33,1.04,4H??40??
????,??,2026-05-04 12:00,2026-05-04 18:00,80292.73,78847.46,78847.46,81987.75,????,-100.00,6.00,73.72,0.91,1.08,4H??40??
????,??,2026-05-05 12:00,2026-05-06 19:15,80856.68,82555.36,79401.26,82563.61,??,99.99,31.25,67.51,1.17,0.13,4H??40??
????,??,2026-05-06 00:00,2026-05-07 22:30,81492.55,80025.68,80025.68,83212.90,????,-100.00,46.50,70.82,1.10,0.21,4H??40??
????,??,2026-05-06 20:00,2026-05-07 07:00,82498.25,81013.28,81013.28,84239.83,????,-100.00,11.00,70.82,1.12,0.85,4H??40??
????,??,2026-05-16 16:00,2026-05-18 07:30,78325.57,76681.39,79735.43,76673.72,??,100.01,39.50,35.85,1.08,0.32,4H??40??
????,??,2026-05-18 08:00,2026-05-23 03:30,77407.26,75782.36,78800.59,75774.78,??,100.01,115.50,34.08,0.99,0.24,4H??40??
????,??,2026-05-19 00:00,2026-05-20 23:15,76376.36,77751.14,77751.14,74765.63,????,-100.00,47.25,30.05,1.08,0.20,4H??40??
????,??,2026-05-23 04:00,2026-05-23 15:45,75822.82,74231.18,77187.63,74223.76,??,100.01,11.75,32.60,1.00,0.25,4H??40??
????,??,2026-05-23 08:00,2026-05-24 04:30,75501.15,76860.17,76860.17,73908.87,????,-100.00,20.50,30.41,1.01,0.15,4H??40??
????,??,2026-05-23 16:00,2026-05-24 02:30,74568.84,75911.08,75911.08,72996.23,????,-100.00,10.50,25.64,1.06,0.80,4H??40??
????,??,2026-05-28 12:00,2026-05-29 09:30,73220.68,73510.05,74538.65,71676.49,????,-100.00,21.50,24.05,1.19,1.31,4H??40??
????,??,2025-08-01 20:00,2025-08-02 03:30,115255.52,113180.92,113180.92,117688.63,????,-100.00,7.50,33.73,1.03,-0.15,???60????
????,??,2025-08-02 00:00,2025-08-02 03:15,115324.13,113248.30,113248.30,117758.69,????,-100.00,3.25,34.42,1.09,-0.18,???60????
????,??,2025-08-11 16:00,2025-08-12 03:45,121533.75,118982.56,123721.35,118970.66,??,100.01,11.75,75.15,0.91,-0.15,???60????
????,??,2025-08-30 08:00,2025-09-02 16:45,108346.63,110622.83,106396.39,110633.89,??,99.99,80.75,33.71,1.26,-0.42,???60????
????,??,2025-08-30 12:00,2025-09-02 16:45,108397.24,110674.50,106446.09,110685.56,??,99.99,76.75,34.10,1.24,-0.12,???60????
????,??,2025-09-12 12:00,2025-09-17 14:45,115131.59,117203.95,117203.95,112703.52,????,-100.00,122.75,67.01,0.82,-0.72,???60????
????,??,2025-11-04 20:00,2025-11-05 00:15,104547.25,102665.40,102665.40,106754.30,????,-100.00,4.25,31.59,1.45,-0.54,???60????
????,??,2025-11-05 08:00,2025-11-05 09:15,101446.54,99620.51,99620.51,103588.14,????,-100.00,1.25,27.85,1.76,-1.02,???60????
????,??,2025-11-05 12:00,2025-11-06 02:45,102096.01,104240.89,100258.28,104251.31,??,99.99,14.75,31.35,1.85,0.03,???60????
????,??,2025-11-08 00:00,2025-11-08 03:15,100760.18,102876.99,98946.49,102887.28,??,99.99,3.25,33.66,1.64,0.32,???60????
????,??,2025-11-15 00:00,2025-11-15 02:45,96761.58,95019.87,95019.87,98804.27,????,-100.00,2.75,32.67,1.95,-1.22,???60????
????,??,2025-11-17 08:00,2025-11-18 02:15,94233.82,92537.61,92537.61,96223.15,????,-100.00,18.25,32.95,1.62,-0.85,???60????
????,??,2025-12-16 08:00,2025-12-17 22:45,86399.64,88214.76,84844.45,88223.58,??,99.99,38.75,31.21,1.40,0.45,???60????
????,??,2026-01-06 08:00,2026-01-07 01:45,93808.52,91839.33,95497.07,91830.15,??,100.01,17.75,73.76,0.96,-0.31,???60????
????,??,2026-01-07 00:00,2026-01-07 01:45,93595.64,91630.92,95280.36,91621.76,??,100.01,1.75,67.09,0.95,0.38,???60????
????,??,2026-01-15 08:00,2026-01-16 23:15,96904.81,94870.63,98649.10,94861.14,??,100.01,39.25,73.81,1.20,-0.18,???60????
????,??,2026-02-02 16:00,2026-02-02 20:15,76611.56,78221.05,75232.55,78228.87,??,99.99,4.25,24.38,2.42,0.40,???60????
????,??,2026-02-24 20:00,2026-02-25 03:00,63200.52,64528.26,62062.91,64534.72,??,99.99,7.00,29.32,1.63,0.37,???60????
????,??,2026-03-16 16:00,2026-03-17 05:30,73421.46,74743.04,74743.04,71873.04,????,-100.00,13.50,70.20,1.39,-0.18,???60????
????,??,2026-03-17 00:00,2026-03-17 05:30,73233.48,74551.68,74551.68,71689.02,????,-100.00,5.50,66.99,1.44,-0.07,???60????
????,??,2026-03-17 12:00,2026-03-18 19:30,74431.36,72868.93,75771.12,72861.64,??,100.01,31.50,70.36,1.51,-1.47,???60????
????,??,2026-04-09 00:00,2026-04-10 05:00,71258.17,72540.82,72540.82,69755.38,????,-100.00,29.00,66.18,1.53,-0.14,???60????
????,??,2026-04-10 08:00,2026-04-10 22:15,71751.92,73043.46,73043.46,70238.72,????,-100.00,14.25,65.49,1.49,-0.37,???60????
????,??,2026-04-14 20:00,2026-04-14 22:15,74342.57,75680.73,75680.73,72774.72,????,-100.00,2.25,68.22,1.24,0.07,???60????
????,??,2026-05-05 16:00,2026-05-06 18:30,80813.72,82268.36,82268.36,79109.40,????,-100.00,26.50,67.21,1.14,-0.29,???60????
????,??,2026-05-18 16:00,2026-05-23 03:30,77044.60,75657.80,75657.80,78671.06,????,-100.00,107.50,32.71,0.97,-0.13,???60????
????,??,2026-05-23 12:00,2026-05-23 15:45,75612.66,74251.63,74251.63,77208.89,????,-100.00,3.75,31.89,0.98,-0.16,???60????
????,??,2026-05-23 20:00,2026-05-24 04:30,74761.38,76332.00,73415.67,76339.63,??,99.99,8.50,28.25,1.03,0.14,???60????
????,??,2026-05-28 16:00,2026-05-29 09:30,73464.75,73495.35,72142.38,75015.63,????,-100.00,17.50,27.16,1.18,-0.48,???60????
