方向,入场时间,出场时间,入场价,出场价,强平价,止损价,止盈价,净盈亏,收益率%,出场原因,权益,备注
做空,2025-08-11 16:00,2025-08-11 20:45,121518.65,119564.19,123705.98,122874.80,119552.23,33.06,3.77,止盈,909.32,80根4H高位反转做空
做多,2025-08-19 16:00,2025-08-19 23:00,115010.40,113715.51,112940.21,113726.88,116871.50,-27.86,-3.06,止损,881.47,80根4H低位反转做多
做多,2025-08-20 12:00,2025-08-22 01:00,113537.85,112259.54,111494.17,112270.77,115375.12,-27.00,-3.06,止损,854.46,80根4H低位反转做多
做多,2025-08-22 08:00,2025-08-22 22:00,112522.75,114332.16,110497.34,111267.00,114343.59,32.20,3.77,止盈,886.66,80根4H低位反转做多
做多,2025-08-26 16:00,2025-08-27 07:00,110311.03,112084.87,108325.43,109079.96,112096.08,33.41,3.77,止盈,920.07,80根4H低位反转做多
做多,2025-08-30 08:00,2025-09-02 10:45,108396.64,110139.70,106445.50,107186.93,110150.71,34.67,3.77,止盈,954.74,80根4H低位反转做多
做空,2025-09-11 16:00,2025-09-12 07:00,114071.09,115355.66,116124.37,115344.13,112225.19,-29.28,-3.07,止损,925.46,80根4H高位反转做空
做空,2025-09-12 12:00,2025-09-13 02:30,115188.48,116485.63,117261.87,116473.98,113324.50,-28.38,-3.07,止损,897.08,80根4H高位反转做空
做空,2025-09-13 08:00,2025-09-18 11:00,116018.50,117324.99,118106.83,117313.26,114141.09,-27.51,-3.07,止损,869.57,80根4H高位反转做空
做多,2025-09-23 08:00,2025-09-24 12:00,112667.37,111398.86,110639.35,111410.00,114490.55,-26.64,-3.06,止损,842.93,80根4H低位反转做多
做多,2025-09-26 00:00,2025-09-26 01:00,111598.16,110341.69,109589.39,110352.72,113404.04,-25.82,-3.06,止损,817.11,80根4H低位反转做多
做多,2025-09-26 12:00,2025-09-29 06:00,109584.06,111346.21,107611.54,108361.10,111357.35,30.79,3.77,止盈,847.90,80根4H低位反转做多
做空,2025-10-02 16:00,2025-10-02 23:45,118476.15,119810.32,120608.72,119798.35,116558.97,-26.00,-3.07,止损,821.90,80根4H高位反转做空
做空,2025-10-03 08:00,2025-10-03 23:45,120528.75,121886.03,122698.26,121873.85,118578.35,-25.21,-3.07,止损,796.69,80根4H高位反转做空
做空,2025-10-04 08:00,2025-10-05 10:30,122227.18,123603.59,124427.27,123591.23,120249.30,-24.43,-3.07,止损,772.26,80根4H高位反转做空
做空,2025-10-05 20:00,2025-10-06 21:15,123455.65,124845.90,125677.85,124833.42,121457.89,-23.68,-3.07,止损,748.58,80根4H高位反转做空
做空,2025-10-07 08:00,2025-10-07 22:30,124662.43,122657.41,126906.36,126053.67,122645.15,28.24,3.77,止盈,776.82,80根4H高位反转做空
做空,2025-10-27 20:00,2025-10-28 13:45,115341.56,113486.46,117417.71,116628.78,113475.11,29.31,3.77,止盈,806.13,80根4H高位反转做空
做多,2025-11-03 20:00,2025-11-03 23:15,107805.18,105864.69,105864.69,106602.07,109549.68,-41.31,-5.12,强平,764.82,80根4H低位反转做多
做多,2025-11-04 04:00,2025-11-04 06:30,107094.31,105888.55,105166.61,105899.14,108827.31,-23.43,-3.06,止损,741.39,80根4H低位反转做多
做多,2025-11-04 20:00,2025-11-04 22:30,104592.16,103414.57,102709.50,103424.91,106284.67,-22.71,-3.06,止损,718.68,80根4H低位反转做多
做多,2025-11-05 08:00,2025-11-05 08:45,101501.65,100358.85,99674.62,100368.89,103144.15,-22.02,-3.06,止损,696.66,80根4H低位反转做多
做多,2025-11-05 12:00,2025-11-06 00:00,102156.01,103798.72,100317.21,101015.95,103809.10,26.25,3.77,止盈,722.91,80根4H低位反转做多
做多,2025-11-08 00:00,2025-11-08 01:15,100812.68,102433.79,98998.05,99687.61,102444.03,27.24,3.77,止盈,750.15,80根4H低位反转做多
做多,2025-11-15 00:00,2025-11-15 01:45,96812.68,95722.68,95070.05,95732.25,98379.30,-22.98,-3.06,止损,727.17,80根4H低位反转做多
做多,2025-11-15 12:00,2025-11-16 04:45,96421.64,95336.04,94686.05,95345.58,97981.94,-22.28,-3.06,止损,704.90,80根4H低位反转做多
做多,2025-11-16 12:00,2025-11-16 23:45,95829.88,94750.94,94104.94,94760.42,97380.60,-21.59,-3.06,止损,683.30,80根4H低位反转做多
做多,2025-11-17 08:00,2025-11-17 15:30,94278.93,95794.97,92581.91,93226.77,95804.55,25.75,3.77,止盈,709.05,80根4H低位反转做多
做多,2025-11-18 08:00,2025-11-18 10:00,92236.02,91197.55,90575.77,91206.67,93728.59,-21.72,-3.06,止损,687.33,80根4H低位反转做多
做多,2025-11-22 00:00,2025-11-22 00:45,82946.49,84280.31,81453.46,82020.81,84288.73,25.90,3.77,止盈,713.23,80根4H低位反转做多
做空,2025-12-04 00:00,2025-12-04 02:00,92370.86,93411.06,94033.54,93401.72,90876.12,-21.87,-3.07,止损,691.36,80根4H高位反转做空
做空,2025-12-04 16:00,2025-12-04 22:45,93387.76,91885.75,95068.74,94429.97,91876.56,26.08,3.77,止盈,717.44,80根4H高位反转做空
做多,2025-12-16 08:00,2025-12-16 11:30,86441.64,85468.41,84885.69,85476.95,87840.44,-21.98,-3.06,止损,695.46,80根4H低位反转做多
做多,2025-12-16 16:00,2025-12-16 20:45,86018.00,87401.20,84469.68,85058.04,87409.94,26.21,3.77,止盈,721.67,80根4H低位反转做多
做多,2025-12-18 08:00,2025-12-18 21:00,86256.72,87643.77,84704.10,85294.10,87652.53,27.19,3.77,止盈,748.86,80根4H低位反转做多
做空,2025-12-29 16:00,2025-12-29 17:45,89603.34,88162.19,91216.20,90603.31,88153.38,28.25,3.77,止盈,777.12,80根4H高位反转做空
做空,2026-01-04 20:00,2026-01-05 08:45,91299.07,92327.20,92942.45,92317.97,89821.67,-23.83,-3.07,止损,753.28,80根4H高位反转做空
做空,2026-01-05 16:00,2026-01-05 22:45,92516.75,93558.59,94182.05,93549.23,91019.64,-23.10,-3.07,止损,730.18,80根4H高位反转做空
做空,2026-01-06 08:00,2026-01-07 00:45,93861.61,92351.98,95551.12,94909.11,92342.74,27.55,3.77,止盈,757.73,80根4H高位反转做空
做空,2026-01-14 16:00,2026-01-14 22:45,95192.38,96264.35,96905.84,96254.73,93651.98,-23.24,-3.07,止损,734.50,80根4H高位反转做空
做空,2026-01-15 08:00,2026-01-16 03:30,96936.31,95377.22,98681.16,98018.11,95367.68,27.71,3.77,止盈,762.21,80根4H高位反转做空
做多,2026-01-21 12:00,2026-01-21 20:00,89440.14,88433.15,87830.22,88441.99,90887.46,-23.35,-3.06,止损,738.86,80根4H低位反转做多
做多,2026-01-26 08:00,2026-01-26 16:00,86675.47,88069.24,85115.31,85708.17,88078.05,27.84,3.77,止盈,766.70,80根4H低位反转做多
做多,2026-01-30 08:00,2026-01-30 09:15,84663.17,83709.95,83139.23,83718.32,86033.18,-23.49,-3.06,止损,743.21,80根4H低位反转做多
做多,2026-01-31 04:00,2026-01-31 16:00,84256.32,83307.69,82739.71,83316.02,85619.76,-22.77,-3.06,止损,720.45,80根4H低位反转做多
做多,2026-02-02 16:00,2026-02-02 19:30,76656.66,77889.33,75276.84,75801.18,77897.12,27.15,3.77,止盈,747.59,80根4H低位反转做多
做多,2026-02-06 12:00,2026-02-06 13:00,64181.72,65213.78,63026.45,63465.45,65220.31,28.17,3.77,止盈,775.76,80根4H低位反转做多
做多,2026-02-24 08:00,2026-02-24 09:15,64664.57,63500.60,63500.60,63942.91,65710.97,-39.76,-5.12,强平,736.01,80根4H低位反转做多
做多,2026-02-24 20:00,2026-02-24 21:30,63232.42,62520.50,62094.24,62526.75,64255.65,-22.55,-3.06,止损,713.46,80根4H低位反转做多
做多,2026-02-25 00:00,2026-02-25 09:00,63978.80,65007.60,62827.18,63264.79,65014.10,26.88,3.77,止盈,740.34,80根4H低位反转做多
做空,2026-03-05 08:00,2026-03-05 18:30,72671.13,73489.49,73979.21,73482.14,71495.17,-22.70,-3.07,止损,717.64,80根4H高位反转做空
做空,2026-03-14 00:00,2026-03-14 06:15,71824.82,70669.61,73117.66,72626.38,70662.55,27.08,3.77,止盈,744.72,80根4H高位反转做空
做空,2026-03-16 16:00,2026-03-16 21:30,73441.66,74268.69,74763.60,74261.26,72253.22,-22.84,-3.07,止损,721.88,80根4H高位反转做空
做空,2026-03-17 00:00,2026-03-17 02:00,73261.77,74086.78,74580.49,74079.37,72076.25,-22.14,-3.07,止损,699.74,80根4H高位反转做空
做空,2026-03-17 12:00,2026-03-18 19:30,74458.25,73260.70,75798.50,75289.21,73253.37,26.40,3.77,止盈,726.14,80根4H高位反转做空
做多,2026-03-23 12:00,2026-03-23 19:00,68093.61,69188.58,66867.92,67333.68,69195.50,27.36,3.77,止盈,753.50,80根4H低位反转做多
做多,2026-03-28 08:00,2026-03-30 06:30,66410.54,65662.83,65215.15,65669.40,67485.20,-23.08,-3.06,止损,730.42,80根4H低位反转做多
做空,2026-04-08 12:00,2026-04-08 20:45,71292.97,72095.81,72576.24,72088.60,70139.31,-22.40,-3.07,止损,708.02,80根4H高位反转做空
做空,2026-04-09 00:00,2026-04-09 23:30,71299.47,72102.38,72582.86,72095.17,70145.70,-21.71,-3.07,止损,686.31,80根4H高位反转做空
做空,2026-04-10 04:00,2026-04-10 06:15,72085.49,72897.25,73383.03,72889.96,70919.00,-21.05,-3.07,止损,665.26,80根4H高位反转做空
做空,2026-04-10 08:00,2026-04-10 22:00,71787.82,72596.23,73080.00,72588.97,70626.15,-20.40,-3.07,止损,644.86,80根4H高位反转做空
做空,2026-04-11 08:00,2026-04-12 03:00,72951.80,73773.32,74264.94,73765.95,71771.30,-19.78,-3.07,止损,625.08,80根4H高位反转做空
做空,2026-04-12 08:00,2026-04-12 09:30,73046.99,71872.13,74361.84,73862.20,71864.95,23.58,3.77,止盈,648.67,80根4H高位反转做空
做空,2026-04-14 20:00,2026-04-14 21:30,74370.36,75207.86,75709.03,75200.34,73166.90,-19.89,-3.07,止损,628.77,80根4H高位反转做空
做空,2026-04-18 04:00,2026-04-18 18:45,77390.86,76146.14,78783.90,78254.54,76138.52,23.72,3.77,止盈,652.50,80根4H高位反转做空
做空,2026-04-23 04:00,2026-04-23 11:30,78834.92,77566.97,80253.94,79714.71,77559.21,24.62,3.77,止盈,677.12,80根4H高位反转做空
做空,2026-05-02 04:00,2026-05-04 04:30,78355.96,79238.34,79766.37,79230.42,77088.01,-20.77,-3.07,止损,656.35,80根4H高位反转做空
做空,2026-05-04 16:00,2026-05-04 18:15,79687.33,78405.67,81121.70,80576.64,78397.83,24.76,3.77,止盈,681.11,80根4H高位反转做空
做空,2026-05-05 16:00,2026-05-06 04:00,80847.91,81758.35,82303.18,81750.18,79539.63,-20.89,-3.07,止损,660.23,80根4H高位反转做空
做空,2026-05-06 08:00,2026-05-06 16:30,80902.91,81813.97,82359.16,81805.79,79593.74,-20.25,-3.07,止损,639.98,80根4H高位反转做空
做空,2026-05-07 00:00,2026-05-07 21:45,81693.93,80380.00,83164.42,82605.63,80371.96,24.15,3.77,止盈,664.13,80根4H高位反转做空
做多,2026-05-17 00:00,2026-05-18 07:30,78245.02,76836.61,76836.61,77371.81,79511.18,-34.04,-5.12,强平,630.09,80根4H低位反转做多
做多,2026-05-18 16:00,2026-05-18 22:30,77094.01,76226.02,75706.32,76233.64,78341.54,-19.30,-3.06,止损,610.79,80根4H低位反转做多
做多,2026-05-19 04:00,2026-05-21 16:00,76940.19,78177.42,75555.27,76081.54,78185.24,23.01,3.77,止盈,633.80,80根4H低位反转做多
做多,2026-05-23 12:00,2026-05-23 15:45,75646.56,74284.93,74284.93,74802.35,76870.68,-32.48,-5.12,强平,601.32,80根4H低位反转做多
做多,2026-05-23 20:00,2026-05-24 04:00,74802.48,76005.33,73456.03,73967.68,76012.93,22.66,3.77,止盈,623.98,80根4H低位反转做多
