策略,杠杆,保证金比例,交易数,多单,空单,胜率,全年收益,最终权益,最大回撤,月内最大回撤,PF,平均单笔,平均盈利,平均亏损,最大单笔盈利,最大单笔亏损,最大连亏,强平,样本外交易,样本外收益,样本外回撤,样本外PF,平均持仓小时
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_5x_10%_T2.4_无固定止盈_168H,5,0.10,53,24,29,33.96%,-9.06%,909.38,15.63%,5.90%,0.75,-1.71,14.78,-10.19,48.27,-29.72,14,0,20,-11.22%,15.01%,0.32,50.14
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_10%_T3_3.0R_168H,5,0.10,132,64,68,37.88%,-10.01%,899.86,14.66%,8.51%,0.81,-0.76,8.35,-6.31,47.46,-16.74,18,0,49,-8.99%,14.66%,0.63,17.81
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_10%_T3_3.0R_336H,5,0.10,132,64,68,37.88%,-10.01%,899.86,14.66%,8.51%,0.81,-0.76,8.35,-6.31,47.46,-16.74,18,0,49,-8.99%,14.66%,0.63,17.81
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_5x_20%_T3_3.0R_96H,5,0.20,148,70,78,36.49%,-11.52%,884.77,18.35%,12.09%,0.89,-0.78,16.59,-10.76,90.55,-32.49,18,0,50,-5.35%,18.02%,0.87,17.04
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_10%_T3_3.0R_96H,10,0.10,148,70,78,36.49%,-11.52%,884.77,18.35%,12.09%,0.89,-0.78,16.59,-10.76,90.55,-32.49,18,0,50,-5.35%,18.02%,0.87,17.04
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_10%_T3_3.0R_96H,5,0.10,133,65,68,37.59%,-10.16%,898.44,14.66%,8.51%,0.81,-0.76,8.39,-6.28,47.39,-16.72,18,0,49,-8.99%,14.66%,0.63,17.25
4H唐奇安趋势_L20_EMA120_ADX22_S2.4_5x_15%_T3_3.0R_168H,5,0.15,46,21,25,43.48%,1.57%,1015.73,26.98%,13.32%,1.03,0.34,31.79,-23.85,147.09,-60.64,10,0,18,-8.50%,26.98%,0.75,63.84
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_5x_20%_T3_3.0R_168H,5,0.20,46,21,25,43.48%,13.59%,1135.92,32.36%,14.96%,1.15,2.95,51.60,-34.47,227.00,-97.01,9,0,18,-9.47%,32.36%,0.78,71.21
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_10x_10%_T3_3.0R_168H,10,0.10,46,21,25,43.48%,13.59%,1135.92,32.36%,14.96%,1.15,2.95,51.60,-34.47,227.00,-97.01,9,0,18,-9.47%,32.36%,0.78,71.21
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_10x_15%_T3_无固定止盈_336H,10,0.15,32,14,18,40.62%,-4.95%,950.52,27.01%,14.26%,0.93,-1.55,48.76,-35.97,133.72,-64.74,6,0,12,-7.95%,27.01%,0.77,71.74
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_5x_20%_T3_3.0R_168H,5,0.20,44,21,23,43.18%,11.06%,1110.56,30.54%,14.96%,1.13,2.51,50.81,-34.19,223.87,-95.67,9,0,17,-10.25%,30.54%,0.75,71.99
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_10x_10%_T3_3.0R_168H,10,0.10,44,21,23,43.18%,11.06%,1110.56,30.54%,14.96%,1.13,2.51,50.81,-34.19,223.87,-95.67,9,0,17,-10.25%,30.54%,0.75,71.99
1H唐奇安趋势_L72_EMA200_ADX20_S2.4_5x_15%_T3_无固定止盈_168H,5,0.15,119,57,62,35.29%,-8.81%,911.91,18.73%,9.18%,0.86,-0.74,13.14,-8.31,100.87,-25.87,13,0,42,-9.13%,18.73%,0.67,19.83
1H唐奇安趋势_L72_EMA200_ADX20_S2.4_5x_15%_T3_无固定止盈_336H,5,0.15,119,57,62,35.29%,-8.81%,911.91,18.73%,9.18%,0.86,-0.74,13.14,-8.31,100.87,-25.87,13,0,42,-9.13%,18.73%,0.67,19.83
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,40,19,21,45.00%,9.26%,1092.62,26.09%,14.96%,1.13,2.32,43.86,-31.68,167.32,-79.83,8,0,16,-14.69%,26.09%,0.53,75.42
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,40,19,21,45.00%,9.26%,1092.62,26.09%,14.96%,1.13,2.32,43.86,-31.68,167.32,-79.83,8,0,16,-14.69%,26.09%,0.53,75.42
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,42,19,23,45.24%,11.76%,1117.56,28.02%,14.96%,1.16,2.80,44.90,-31.98,169.66,-80.95,8,0,17,-13.94%,28.02%,0.59,74.40
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,42,19,23,45.24%,11.76%,1117.56,28.02%,14.96%,1.16,2.80,44.90,-31.98,169.66,-80.95,8,0,17,-13.94%,28.02%,0.59,74.40
1H唐奇安趋势_L72_EMA200_ADX20_S2.4_5x_15%_T3_无固定止盈_96H,5,0.15,120,58,62,35.00%,-9.03%,909.74,18.73%,9.18%,0.86,-0.75,13.22,-8.27,100.63,-25.81,13,0,42,-9.13%,18.73%,0.67,19.19
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_5x_15%_T2.4_3.0R_96H,5,0.15,160,78,82,41.25%,-15.77%,842.26,19.58%,10.67%,0.78,-0.99,8.62,-7.73,66.15,-23.53,12,0,55,-6.51%,18.36%,0.80,12.34
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_5x_15%_T2.4_3.0R_168H,5,0.15,160,78,82,41.25%,-15.77%,842.26,19.58%,10.67%,0.78,-0.99,8.62,-7.73,66.15,-23.53,12,0,55,-6.51%,18.36%,0.80,12.34
