策略,杠杆,保证金比例,交易数,多单,空单,胜率,全年收益,最终权益,最大回撤,月内最大回撤,PF,平均单笔,平均盈利,平均亏损,最大单笔盈利,最大单笔亏损,最大连亏,强平,样本外交易,样本外收益,样本外回撤,样本外PF,平均持仓小时
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_15%_T2.4_3.0R_336H,5,0.15,148,72,76,39.19%,-26.51%,734.94,27.66%,12.55%,0.64,-1.79,7.96,-8.08,62.96,-22.40,12,0,54,-15.01%,24.60%,0.60,12.43
4H唐奇安趋势_L20_EMA180_ADX18_S2.4_8x_10%_T2.4_3.0R_96H,8,0.10,63,28,35,34.92%,-21.21%,787.91,27.15%,9.46%,0.66,-3.37,19.10,-15.42,77.14,-42.63,9,0,24,-19.37%,24.74%,0.37,44.27
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_10x_15%_T3_无固定止盈_336H,10,0.15,39,18,21,41.03%,1.93%,1019.33,36.71%,21.77%,1.02,0.50,67.93,-46.42,219.68,-127.82,8,0,16,-21.79%,36.71%,0.54,83.80
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_5x_20%_T3_3.0R_168H,5,0.20,58,28,30,37.93%,-9.35%,906.55,36.83%,17.79%,0.91,-1.61,42.69,-28.69,193.99,-82.90,9,0,22,-15.45%,36.83%,0.68,68.91
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_10x_10%_T3_3.0R_168H,10,0.10,58,28,30,37.93%,-9.35%,906.55,36.83%,17.79%,0.91,-1.61,42.69,-28.69,193.99,-82.90,9,0,22,-15.45%,36.83%,0.68,68.91
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_8x_15%_T2.4_无固定止盈_96H,8,0.15,54,24,30,37.04%,-17.09%,829.07,30.28%,13.75%,0.79,-3.17,32.60,-24.20,117.67,-75.71,7,0,20,-20.58%,28.57%,0.43,44.15
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_8x_10%_T2.4_3.0R_168H,8,0.10,47,22,25,27.66%,-23.14%,768.60,23.30%,9.94%,0.54,-4.92,20.62,-14.69,69.69,-43.74,15,0,18,-16.95%,22.48%,0.33,44.06
1H唐奇安趋势_L96_EMA150_ADX20_S2.4_8x_15%_T2.4_3.0R_96H,8,0.15,126,61,65,38.89%,-24.67%,753.28,27.35%,11.31%,0.73,-1.96,13.60,-11.86,100.78,-36.41,16,0,42,-12.33%,27.35%,0.71,12.85
1H唐奇安趋势_L96_EMA150_ADX20_S2.4_8x_15%_T2.4_3.0R_168H,8,0.15,126,61,65,38.89%,-24.67%,753.28,27.35%,11.31%,0.73,-1.96,13.60,-11.86,100.78,-36.41,16,0,42,-12.33%,27.35%,0.71,12.85
1H唐奇安趋势_L96_EMA150_ADX20_S2.4_8x_15%_T2.4_3.0R_336H,8,0.15,126,61,65,38.89%,-24.67%,753.28,27.35%,11.31%,0.73,-1.96,13.60,-11.86,100.78,-36.41,16,0,42,-12.33%,27.35%,0.71,12.85
4H唐奇安趋势_L20_EMA120_ADX22_S2.4_8x_15%_T3_无固定止盈_168H,8,0.15,43,19,24,44.19%,-5.18%,948.21,35.12%,14.47%,0.94,-1.20,45.25,-37.98,119.49,-73.44,9,0,17,-19.23%,35.12%,0.55,66.09
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_15%_T2.4_无固定止盈_336H,10,0.15,42,19,23,30.95%,-18.21%,817.88,29.59%,12.15%,0.77,-4.34,46.52,-27.14,138.70,-75.73,12,0,15,-17.05%,26.79%,0.48,51.02
1H唐奇安趋势_L96_EMA150_ADX24_S2.4_5x_15%_T2.4_无固定止盈_96H,5,0.15,120,59,61,36.67%,-25.23%,747.68,26.21%,7.74%,0.58,-2.10,8.04,-7.97,72.12,-22.55,16,0,41,-14.55%,22.68%,0.53,13.15
1H唐奇安趋势_L96_EMA150_ADX24_S2.4_5x_15%_T2.4_无固定止盈_168H,5,0.15,120,59,61,36.67%,-25.23%,747.68,26.21%,7.74%,0.58,-2.10,8.04,-7.97,72.12,-22.55,16,0,41,-14.55%,22.68%,0.53,13.15
1H唐奇安趋势_L96_EMA150_ADX24_S2.4_5x_15%_T2.4_无固定止盈_336H,5,0.15,120,59,61,36.67%,-25.23%,747.68,26.21%,7.74%,0.58,-2.10,8.04,-7.97,72.12,-22.55,16,0,41,-14.55%,22.68%,0.53,13.15
1H波动压缩突破_R72_Q0.2_S2.2_10x_15%_T3_3.0R_96H,10,0.15,30,14,16,30.00%,-14.67%,853.27,25.79%,16.06%,0.59,-4.89,23.23,-16.94,65.61,-34.02,10,0,17,-22.74%,24.62%,0.13,12.81
1H波动压缩突破_R72_Q0.2_S2.2_10x_15%_T3_3.0R_168H,10,0.15,30,14,16,30.00%,-14.67%,853.27,25.79%,16.06%,0.59,-4.89,23.23,-16.94,65.61,-34.02,10,0,17,-22.74%,24.62%,0.13,12.81
1H波动压缩突破_R72_Q0.2_S2.2_10x_15%_T3_3.0R_336H,10,0.15,30,14,16,30.00%,-14.67%,853.27,25.79%,16.06%,0.59,-4.89,23.23,-16.94,65.61,-34.02,10,0,17,-22.74%,24.62%,0.13,12.81
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_15%_T2.4_无固定止盈_168H,8,0.15,42,18,24,30.95%,-28.45%,715.53,28.45%,9.80%,0.53,-6.77,24.64,-20.85,95.18,-49.22,10,0,15,-15.26%,23.43%,0.46,41.47
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_8x_10%_T2.4_无固定止盈_168H,8,0.10,49,22,27,28.57%,-26.38%,736.21,26.38%,9.94%,0.48,-5.38,17.40,-14.50,66.24,-41.58,12,0,18,-16.32%,21.89%,0.34,43.49
1H唐奇安趋势_L96_EMA150_ADX24_S2.4_8x_10%_T2.4_3.0R_96H,8,0.10,121,59,62,37.19%,-25.18%,748.18,26.22%,8.24%,0.61,-2.08,8.81,-8.53,67.37,-24.01,16,0,42,-14.13%,24.01%,0.57,13.03
1H唐奇安趋势_L96_EMA150_ADX24_S2.4_8x_10%_T2.4_3.0R_168H,8,0.10,121,59,62,37.19%,-25.18%,748.18,26.22%,8.24%,0.61,-2.08,8.81,-8.53,67.37,-24.01,16,0,42,-14.13%,24.01%,0.57,13.03
1H唐奇安趋势_L96_EMA150_ADX24_S2.4_8x_10%_T2.4_3.0R_336H,8,0.10,121,59,62,37.19%,-25.18%,748.18,26.22%,8.24%,0.61,-2.08,8.81,-8.53,67.37,-24.01,16,0,42,-14.13%,24.01%,0.57,13.03
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_5x_15%_T2.4_无固定止盈_336H,5,0.15,49,22,27,26.53%,-21.62%,783.83,23.67%,7.49%,0.56,-4.41,21.33,-13.71,66.92,-35.35,16,0,19,-17.30%,22.48%,0.31,46.68
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_8x_20%_T3_无固定止盈_96H,8,0.20,50,22,28,40.00%,-12.80%,871.96,35.07%,23.07%,0.89,-2.56,52.78,-39.46,148.24,-112.65,7,0,18,-18.28%,34.17%,0.64,54.62
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_15%_T2.4_无固定止盈_168H,8,0.15,40,18,22,30.00%,-25.36%,746.44,26.88%,9.80%,0.57,-6.34,27.97,-21.04,100.43,-51.94,12,0,15,-16.23%,24.31%,0.44,42.08
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_5x_15%_T2.4_3.0R_96H,5,0.15,71,32,39,33.80%,-26.94%,730.61,28.00%,10.73%,0.59,-3.79,15.98,-13.89,70.28,-36.82,7,0,25,-18.66%,23.98%,0.38,42.96
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_8x_15%_T2.4_无固定止盈_96H,8,0.15,52,24,28,34.62%,-18.44%,815.64,29.36%,13.75%,0.76,-3.55,33.30,-23.05,114.79,-73.86,8,0,19,-19.91%,27.64%,0.41,43.98
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,125,60,65,37.60%,-19.42%,805.75,26.82%,16.36%,0.79,-1.55,15.89,-12.06,127.76,-33.05,18,0,47,-15.06%,26.82%,0.69,18.67
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_20%_T3_无固定止盈_336H,5,0.20,125,60,65,37.60%,-19.42%,805.75,26.82%,16.36%,0.79,-1.55,15.89,-12.06,127.76,-33.05,18,0,47,-15.06%,26.82%,0.69,18.67
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,125,60,65,37.60%,-19.42%,805.75,26.82%,16.36%,0.79,-1.55,15.89,-12.06,127.76,-33.05,18,0,47,-15.06%,26.82%,0.69,18.67
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_10x_10%_T3_无固定止盈_336H,10,0.10,125,60,65,37.60%,-19.42%,805.75,26.82%,16.36%,0.79,-1.55,15.89,-12.06,127.76,-33.05,18,0,47,-15.06%,26.82%,0.69,18.67
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_5x_15%_T2.4_无固定止盈_336H,5,0.15,47,22,25,25.53%,-25.42%,745.75,25.42%,9.34%,0.45,-5.41,17.00,-13.09,62.65,-39.20,15,0,18,-15.95%,21.23%,0.33,45.38
1H波动压缩突破_R72_Q0.2_S2.2_10x_15%_T3_无固定止盈_96H,10,0.15,30,14,16,30.00%,-15.81%,841.93,25.79%,16.06%,0.55,-5.27,21.54,-16.76,48.29,-33.56,10,0,17,-22.74%,24.62%,0.13,12.82
1H波动压缩突破_R72_Q0.2_S2.2_10x_15%_T3_无固定止盈_168H,10,0.15,30,14,16,30.00%,-15.81%,841.93,25.79%,16.06%,0.55,-5.27,21.54,-16.76,48.29,-33.56,10,0,17,-22.74%,24.62%,0.13,12.82
1H波动压缩突破_R72_Q0.2_S2.2_10x_15%_T3_无固定止盈_336H,10,0.15,30,14,16,30.00%,-15.81%,841.93,25.79%,16.06%,0.55,-5.27,21.54,-16.76,48.29,-33.56,10,0,17,-22.74%,24.62%,0.13,12.82
4H唐奇安趋势_L20_EMA180_ADX18_S2.4_8x_10%_T2.4_无固定止盈_96H,8,0.10,63,28,35,34.92%,-23.00%,769.96,27.15%,9.46%,0.63,-3.65,17.80,-15.16,71.90,-41.66,9,0,24,-19.37%,24.74%,0.37,44.30
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_15%_T2.4_无固定止盈_96H,5,0.15,145,71,74,39.31%,-27.04%,729.61,28.30%,12.55%,0.62,-1.86,7.59,-7.99,71.63,-22.40,12,0,52,-15.63%,24.03%,0.56,12.65
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_15%_T2.4_无固定止盈_168H,5,0.15,145,71,74,39.31%,-27.04%,729.61,28.30%,12.55%,0.62,-1.86,7.59,-7.99,71.63,-22.40,12,0,52,-15.63%,24.03%,0.56,12.65
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_15%_T2.4_无固定止盈_336H,5,0.15,145,71,74,39.31%,-27.04%,729.61,28.30%,12.55%,0.62,-1.86,7.59,-7.99,71.63,-22.40,12,0,52,-15.63%,24.03%,0.56,12.65
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_5x_20%_T3_无固定止盈_96H,5,0.20,126,61,65,37.30%,-19.68%,803.18,26.82%,16.36%,0.79,-1.56,15.96,-11.99,127.35,-32.95,18,0,47,-15.06%,26.82%,0.69,18.07
1H唐奇安趋势_L48_EMA200_ADX24_S2.4_10x_10%_T3_无固定止盈_96H,10,0.10,126,61,65,37.30%,-19.68%,803.18,26.82%,16.36%,0.79,-1.56,15.96,-11.99,127.35,-32.95,18,0,47,-15.06%,26.82%,0.69,18.07
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T2.4_3.0R_96H,10,0.20,43,19,24,37.21%,-16.25%,837.48,34.75%,12.06%,0.85,-3.78,55.95,-39.18,212.72,-110.60,6,0,15,-18.55%,30.79%,0.56,43.23
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_5x_20%_T2.4_无固定止盈_96H,5,0.20,47,22,25,27.66%,-27.94%,720.56,27.94%,12.31%,0.52,-5.95,23.06,-17.04,82.09,-52.18,8,0,18,-17.46%,24.21%,0.40,40.09
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_10x_10%_T2.4_无固定止盈_96H,10,0.10,47,22,25,27.66%,-27.94%,720.56,27.94%,12.31%,0.52,-5.95,23.06,-17.04,82.09,-52.18,8,0,18,-17.46%,24.21%,0.40,40.09
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_8x_10%_T2.4_3.0R_168H,8,0.10,49,22,27,28.57%,-18.31%,816.92,25.07%,7.97%,0.66,-3.74,25.70,-15.51,78.66,-39.87,16,0,19,-18.37%,23.81%,0.31,45.41
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T3_无固定止盈_168H,8,0.15,108,52,56,34.26%,-17.59%,824.12,29.52%,11.22%,0.82,-1.63,20.98,-13.41,158.75,-41.35,13,0,38,-16.64%,29.52%,0.61,19.77
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T3_无固定止盈_336H,8,0.15,108,52,56,34.26%,-17.59%,824.12,29.52%,11.22%,0.82,-1.63,20.98,-13.41,158.75,-41.35,13,0,38,-16.64%,29.52%,0.61,19.77
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_8x_10%_T2.4_无固定止盈_168H,8,0.10,47,22,25,27.66%,-24.29%,757.12,24.29%,9.94%,0.51,-5.17,19.30,-14.52,68.65,-43.09,15,0,18,-16.95%,22.48%,0.33,44.10
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_15%_T2.4_3.0R_336H,10,0.15,44,19,25,34.09%,-15.67%,843.35,31.37%,12.15%,0.82,-3.56,46.39,-29.40,152.81,-80.13,11,0,16,-19.15%,28.65%,0.46,51.32
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_20%_T3_无固定止盈_168H,10,0.20,139,65,74,36.69%,-21.03%,789.68,36.25%,22.91%,0.88,-1.51,30.90,-20.30,234.93,-62.94,18,0,48,-7.21%,32.43%,0.92,18.44
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_20%_T3_无固定止盈_336H,10,0.20,139,65,74,36.69%,-21.03%,789.68,36.25%,22.91%,0.88,-1.51,30.90,-20.30,234.93,-62.94,18,0,48,-7.21%,32.43%,0.92,18.44
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T3_无固定止盈_96H,8,0.15,109,53,56,33.94%,-17.90%,820.95,29.52%,11.22%,0.81,-1.64,21.08,-13.32,158.14,-41.19,13,0,38,-16.64%,29.52%,0.61,19.07
1H唐奇安趋势_L72_EMA200_ADX24_S2.4_5x_15%_T2.4_3.0R_96H,5,0.15,131,65,66,36.64%,-22.59%,774.13,25.10%,9.20%,0.66,-1.72,8.98,-7.91,65.96,-23.46,19,0,47,-14.95%,24.18%,0.56,13.35
1H唐奇安趋势_L72_EMA200_ADX24_S2.4_5x_15%_T2.4_3.0R_168H,5,0.15,131,65,66,36.64%,-22.59%,774.13,25.10%,9.20%,0.66,-1.72,8.98,-7.91,65.96,-23.46,19,0,47,-14.95%,24.18%,0.56,13.35
1H唐奇安趋势_L72_EMA200_ADX24_S2.4_5x_15%_T2.4_3.0R_336H,5,0.15,131,65,66,36.64%,-22.59%,774.13,25.10%,9.20%,0.66,-1.72,8.98,-7.91,65.96,-23.46,19,0,47,-14.95%,24.18%,0.56,13.35
4H唐奇安趋势_L20_EMA120_ADX22_S2.4_8x_20%_T3_无固定止盈_96H,8,0.20,47,21,26,40.43%,-9.63%,903.68,36.26%,18.97%,0.92,-2.05,58.70,-43.27,157.98,-99.89,5,0,18,-20.52%,36.26%,0.64,53.12
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_20%_T2.4_3.0R_96H,10,0.20,45,19,26,40.00%,-14.03%,859.73,36.82%,12.06%,0.88,-3.12,55.32,-42.07,221.60,-115.21,5,0,16,-19.74%,32.98%,0.56,43.46
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_10x_15%_T3_3.0R_168H,10,0.15,145,69,76,37.24%,-19.91%,800.91,29.65%,20.16%,0.87,-1.37,24.04,-16.45,134.50,-49.10,18,0,50,-13.13%,29.65%,0.80,17.60
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_10x_15%_T3_3.0R_336H,10,0.15,145,69,76,37.24%,-19.91%,800.91,29.65%,20.16%,0.87,-1.37,24.04,-16.45,134.50,-49.10,18,0,50,-13.13%,29.65%,0.80,17.60
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_8x_20%_T3_无固定止盈_96H,8,0.20,42,19,23,30.95%,-26.03%,739.67,31.81%,21.68%,0.72,-6.20,51.50,-32.06,121.40,-92.25,6,0,16,-15.34%,31.81%,0.67,52.89
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_8x_10%_T2.4_3.0R_336H,8,0.10,49,22,27,26.53%,-27.86%,721.40,27.86%,9.94%,0.45,-5.69,17.39,-14.02,64.91,-40.75,12,0,18,-16.32%,21.89%,0.34,44.70
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_20%_T2.4_3.0R_168H,8,0.20,44,19,25,36.36%,-10.90%,890.95,33.18%,12.92%,0.89,-2.48,52.72,-34.02,167.81,-92.57,11,0,16,-20.38%,30.27%,0.46,49.94
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_10x_15%_T3_3.0R_96H,10,0.15,146,70,76,36.99%,-20.30%,797.03,29.65%,20.16%,0.87,-1.39,24.08,-16.34,133.85,-48.87,18,0,50,-13.13%,29.65%,0.80,17.09
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_5x_15%_T2.4_无固定止盈_96H,5,0.15,71,32,39,33.80%,-28.51%,714.95,28.71%,10.73%,0.56,-4.01,14.91,-13.68,62.11,-36.03,7,0,25,-18.66%,23.98%,0.38,42.99
1H唐奇安趋势_L96_EMA200_ADX24_S2.4_8x_10%_T2.4_无固定止盈_96H,8,0.10,119,59,60,36.97%,-25.44%,745.59,26.48%,8.24%,0.60,-2.14,8.64,-8.46,77.59,-24.31,16,0,41,-15.48%,24.01%,0.53,13.12
1H唐奇安趋势_L96_EMA200_ADX24_S2.4_8x_10%_T2.4_无固定止盈_168H,8,0.10,119,59,60,36.97%,-25.44%,745.59,26.48%,8.24%,0.60,-2.14,8.64,-8.46,77.59,-24.31,16,0,41,-15.48%,24.01%,0.53,13.12
1H唐奇安趋势_L96_EMA200_ADX24_S2.4_8x_10%_T2.4_无固定止盈_336H,8,0.10,119,59,60,36.97%,-25.44%,745.59,26.48%,8.24%,0.60,-2.14,8.64,-8.46,77.59,-24.31,16,0,41,-15.48%,24.01%,0.53,13.12
4H唐奇安趋势_L20_EMA120_ADX22_S2.4_5x_20%_T2.4_3.0R_96H,5,0.20,55,24,31,36.36%,-24.82%,751.84,31.18%,9.90%,0.65,-4.51,23.22,-20.36,102.23,-46.51,6,0,20,-19.07%,26.34%,0.44,40.43
4H唐奇安趋势_L20_EMA120_ADX22_S2.4_10x_10%_T2.4_3.0R_96H,10,0.10,55,24,31,36.36%,-24.82%,751.84,31.18%,9.90%,0.65,-4.51,23.22,-20.36,102.23,-46.51,6,0,20,-19.07%,26.34%,0.44,40.43
4H唐奇安趋势_L20_EMA180_ADX18_S2.4_5x_15%_T2.4_3.0R_168H,5,0.15,60,28,32,31.67%,-20.72%,792.83,26.28%,8.57%,0.65,-3.45,20.15,-14.39,70.87,-41.82,14,0,23,-18.93%,24.01%,0.33,50.25
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_8x_10%_T2.4_无固定止盈_168H,8,0.10,49,22,27,28.57%,-20.17%,798.31,25.07%,7.97%,0.62,-4.12,23.70,-15.24,73.64,-38.96,16,0,19,-18.37%,23.81%,0.31,45.44
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_15%_T2.4_无固定止盈_96H,10,0.15,159,77,82,40.88%,-29.46%,705.41,35.53%,17.61%,0.77,-1.85,15.27,-13.69,134.00,-43.01,12,0,53,-10.29%,28.99%,0.83,12.37
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_15%_T2.4_无固定止盈_168H,10,0.15,159,77,82,40.88%,-29.46%,705.41,35.53%,17.61%,0.77,-1.85,15.27,-13.69,134.00,-43.01,12,0,53,-10.29%,28.99%,0.83,12.37
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_15%_T2.4_无固定止盈_336H,10,0.15,159,77,82,40.88%,-29.46%,705.41,35.53%,17.61%,0.77,-1.85,15.27,-13.69,134.00,-43.01,12,0,53,-10.29%,28.99%,0.83,12.37
1H唐奇安趋势_L96_EMA150_ADX20_S2.4_8x_15%_T3_无固定止盈_168H,8,0.15,109,52,57,33.94%,-19.70%,802.97,29.52%,11.22%,0.79,-1.81,20.52,-13.28,154.67,-40.29,13,0,38,-16.64%,29.52%,0.61,19.75
1H唐奇安趋势_L96_EMA150_ADX20_S2.4_8x_15%_T3_无固定止盈_336H,8,0.15,109,52,57,33.94%,-19.70%,802.97,29.52%,11.22%,0.79,-1.81,20.52,-13.28,154.67,-40.29,13,0,38,-16.64%,29.52%,0.61,19.75
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_20%_T3_无固定止盈_96H,10,0.20,141,66,75,36.17%,-23.07%,769.25,36.25%,22.91%,0.87,-1.64,30.37,-19.77,228.85,-61.31,18,0,48,-7.21%,32.43%,0.92,17.79
4H唐奇安趋势_L20_EMA120_ADX22_S2.4_5x_15%_T2.4_3.0R_168H,5,0.15,53,24,29,30.19%,-20.78%,792.18,26.63%,7.49%,0.63,-3.92,22.13,-15.19,75.18,-36.18,15,0,20,-18.34%,23.46%,0.30,45.33
1H波动压缩突破_R72_Q0.2_S2.2_10x_20%_T2.4_3.0R_96H,10,0.20,30,14,16,36.67%,-8.92%,910.82,29.27%,19.02%,0.80,-2.97,32.31,-23.40,90.76,-49.32,10,0,17,-24.93%,27.78%,0.18,11.29
1H波动压缩突破_R72_Q0.2_S2.2_10x_20%_T2.4_3.0R_168H,10,0.20,30,14,16,36.67%,-8.92%,910.82,29.27%,19.02%,0.80,-2.97,32.31,-23.40,90.76,-49.32,10,0,17,-24.93%,27.78%,0.18,11.29
1H波动压缩突破_R72_Q0.2_S2.2_10x_20%_T2.4_3.0R_336H,10,0.20,30,14,16,36.67%,-8.92%,910.82,29.27%,19.02%,0.80,-2.97,32.31,-23.40,90.76,-49.32,10,0,17,-24.93%,27.78%,0.18,11.29
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T2.4_无固定止盈_96H,10,0.20,43,19,24,37.21%,-19.03%,809.75,34.75%,12.06%,0.82,-4.42,52.50,-38.16,187.74,-106.93,6,0,15,-18.55%,30.79%,0.56,43.19
1H唐奇安趋势_L96_EMA150_ADX20_S2.4_8x_15%_T3_无固定止盈_96H,8,0.15,110,53,57,33.64%,-20.01%,799.88,29.52%,11.22%,0.79,-1.82,20.63,-13.20,154.08,-40.14,13,0,38,-16.64%,29.52%,0.61,19.06
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T3_3.0R_168H,8,0.15,113,55,58,35.40%,-17.58%,824.16,29.52%,11.22%,0.83,-1.56,20.78,-13.79,116.19,-41.98,13,0,39,-17.88%,29.52%,0.58,19.09
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T3_3.0R_336H,8,0.15,113,55,58,35.40%,-17.58%,824.16,29.52%,11.22%,0.83,-1.56,20.78,-13.79,116.19,-41.98,13,0,39,-17.88%,29.52%,0.58,19.09
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_15%_T2.4_3.0R_336H,8,0.15,42,18,24,28.57%,-30.59%,694.14,30.59%,9.80%,0.49,-7.28,24.38,-19.95,92.33,-47.75,10,0,15,-15.26%,23.43%,0.46,42.88
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_20%_T2.4_3.0R_336H,8,0.20,42,19,23,30.95%,-17.31%,826.89,31.32%,12.92%,0.80,-4.12,52.53,-29.52,157.40,-83.58,12,0,15,-18.16%,28.33%,0.48,51.05
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T3_3.0R_96H,8,0.15,114,56,58,35.09%,-17.90%,820.99,29.52%,11.22%,0.82,-1.57,20.86,-13.70,115.74,-41.82,13,0,39,-17.88%,29.52%,0.58,18.43
1H波动压缩突破_R72_Q0.2_S2.2_10x_20%_T2.4_无固定止盈_96H,10,0.20,30,14,16,36.67%,-9.36%,906.37,29.27%,19.02%,0.79,-3.12,31.77,-23.32,75.68,-49.08,10,0,17,-24.93%,27.78%,0.18,11.31
1H波动压缩突破_R72_Q0.2_S2.2_10x_20%_T2.4_无固定止盈_168H,10,0.20,30,14,16,36.67%,-9.36%,906.37,29.27%,19.02%,0.79,-3.12,31.77,-23.32,75.68,-49.08,10,0,17,-24.93%,27.78%,0.18,11.31
1H波动压缩突破_R72_Q0.2_S2.2_10x_20%_T2.4_无固定止盈_336H,10,0.20,30,14,16,36.67%,-9.36%,906.37,29.27%,19.02%,0.79,-3.12,31.77,-23.32,75.68,-49.08,10,0,17,-24.93%,27.78%,0.18,11.31
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,54,26,28,38.89%,-10.44%,895.57,36.46%,17.79%,0.88,-1.93,37.69,-27.15,159.56,-65.49,9,0,21,-19.63%,32.78%,0.50,71.27
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,54,26,28,38.89%,-10.44%,895.57,36.46%,17.79%,0.88,-1.93,37.69,-27.15,159.56,-65.49,9,0,21,-19.63%,32.78%,0.50,71.27
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_15%_T2.4_3.0R_96H,5,0.15,132,65,67,36.36%,-23.83%,761.72,26.16%,9.20%,0.64,-1.81,8.86,-7.90,64.90,-23.09,19,0,47,-14.95%,24.18%,0.56,13.38
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_15%_T2.4_3.0R_168H,5,0.15,132,65,67,36.36%,-23.83%,761.72,26.16%,9.20%,0.64,-1.81,8.86,-7.90,64.90,-23.09,19,0,47,-14.95%,24.18%,0.56,13.38
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_15%_T2.4_3.0R_336H,5,0.15,132,65,67,36.36%,-23.83%,761.72,26.16%,9.20%,0.64,-1.81,8.86,-7.90,64.90,-23.09,19,0,47,-14.95%,24.18%,0.56,13.38
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_8x_10%_T2.4_3.0R_336H,8,0.10,49,22,27,26.53%,-21.15%,788.54,25.07%,7.97%,0.60,-4.32,24.75,-14.81,77.80,-38.48,16,0,19,-18.37%,23.81%,0.31,46.64
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_10x_15%_T3_无固定止盈_168H,10,0.15,37,17,20,37.84%,-9.91%,900.91,35.64%,20.43%,0.90,-2.68,60.65,-41.23,216.88,-111.08,7,0,15,-20.46%,35.64%,0.55,68.29
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T2.4_无固定止盈_96H,8,0.15,124,61,63,38.71%,-25.07%,749.29,28.00%,11.31%,0.72,-2.02,13.44,-11.78,116.81,-37.10,16,0,41,-14.41%,27.35%,0.65,12.93
1H唐奇安趋势_L96_EMA200_ADX20_S2.4_8x_15%_T2.4_无固定止盈_168H,8,0.15,124,61,63,38.71%,-25.07%,749.29,28.00%,11.31%,0.72,-2.02,13.44,-11.78,116.81,-37.10,16,0,41,-14.41%,27.35%,0.65,12.93
