??,??,????,????,??,??,???,???,??,?????%,????,??
????,??,2025-08-26 08:00,2025-08-27 07:00,110062.99,112044.13,112044.13,107837.52,????,-100.00,23.00,4H??40??
????,??,2025-08-30 00:00,2025-09-02 11:00,108322.97,110272.78,110272.78,106132.68,????,-100.00,83.00,4H??40??
????,??,2025-09-11 00:00,2025-09-12 08:45,113828.38,116118.38,111779.47,116129.99,??,95.54,32.75,4H??40??
????,??,2025-09-11 12:00,2025-09-15 14:00,114358.53,116659.20,112300.08,116670.86,??,95.54,98.00,4H??40??
????,??,2025-09-12 08:00,2025-09-18 11:30,115449.44,117772.05,113371.35,117783.83,??,95.54,147.50,4H??40??
????,??,2025-09-13 04:00,2025-09-15 21:30,116586.66,114488.10,114488.10,118944.04,????,-100.00,65.50,4H??40??
????,??,2025-09-17 04:00,2025-09-18 02:45,116775.68,114673.71,114673.71,119136.88,????,-100.00,22.75,4H??40??
????,??,2025-09-17 16:00,2025-09-18 02:15,117122.01,115013.81,115013.81,119490.22,????,-100.00,10.25,4H??40??
????,??,2025-09-18 12:00,2025-09-19 23:00,117558.65,115442.60,115442.60,119935.69,????,-100.00,35.00,4H??40??
????,??,2025-09-26 04:00,2025-09-29 06:00,109315.87,111283.55,111283.55,107105.50,????,-100.00,74.00,4H??40??
????,??,2025-10-01 20:00,2025-10-02 08:00,116740.27,119088.85,114638.95,119100.76,??,95.54,12.00,4H??40??
????,??,2025-10-02 00:00,2025-10-02 22:30,117375.64,119737.00,115262.87,119748.97,??,95.54,22.50,4H??40??
????,??,2025-10-02 08:00,2025-10-03 03:00,118572.26,120957.69,116437.96,120969.79,??,95.54,19.00,4H??40??
????,??,2025-10-02 12:00,2025-10-03 23:15,118702.97,121091.03,116566.32,121103.14,??,95.54,35.25,4H??40??
????,??,2025-10-03 00:00,2025-10-03 23:45,119892.69,122304.69,117734.62,122316.92,??,95.54,23.75,4H??40??
????,??,2025-10-03 04:00,2025-10-04 00:00,120788.48,123218.50,118614.29,123230.82,??,95.54,20.00,4H??40??
????,??,2025-10-04 00:00,2025-10-05 12:45,122227.32,124686.29,120027.23,124698.76,??,95.54,36.75,4H??40??
????,??,2025-10-04 04:00,2025-10-05 12:45,122608.66,125075.30,120401.70,125087.81,??,95.54,32.75,4H??40??
????,??,2025-10-05 16:00,2025-10-05 18:00,124715.57,122470.69,122470.69,127237.32,????,-100.00,2.00,4H??40??
????,??,2025-10-27 08:00,2025-10-29 04:15,114519.85,112458.49,112458.49,116835.44,????,-100.00,44.25,4H??40??
????,??,2025-10-31 00:00,2025-10-31 09:00,107645.83,109583.46,109583.46,105469.24,????,-100.00,9.00,4H??40??
????,??,2025-10-31 04:00,2025-10-31 08:00,106474.35,108390.89,108390.89,104321.44,????,-100.00,4.00,4H??40??
????,??,2025-11-04 00:00,2025-11-04 01:15,105691.03,107593.47,107593.47,103553.96,????,-100.00,1.25,4H??40??
????,??,2025-11-04 16:00,2025-11-05 00:45,104433.86,102332.44,106313.66,102322.20,??,95.66,8.75,4H??40??
????,??,2025-11-05 00:00,2025-11-05 01:15,103145.28,101069.79,105001.90,101059.69,??,95.66,1.25,4H??40??
????,??,2025-11-05 04:00,2025-11-05 13:00,100487.05,102295.82,102295.82,98455.20,????,-100.00,9.00,4H??40??
????,??,2025-11-14 04:00,2025-11-14 07:30,98619.54,100394.69,100394.69,96625.45,????,-100.00,3.50,4H??40??
????,??,2025-11-14 16:00,2025-11-14 20:30,97076.59,95123.21,98823.97,95113.70,??,95.66,4.50,4H??40??
????,??,2025-11-18 04:00,2025-11-18 11:30,91642.03,89798.01,93291.59,89789.03,??,95.66,7.50,4H??40??
????,??,2025-11-18 12:00,2025-11-18 23:15,90798.22,92432.59,92432.59,88962.28,????,-100.00,11.25,4H??40??
????,??,2025-11-20 04:00,2025-11-20 05:15,88839.82,90438.93,90438.93,87043.47,????,-100.00,1.25,4H??40??
????,??,2025-11-21 04:00,2025-11-21 15:15,86870.11,85122.11,88433.77,85113.60,??,95.66,11.25,4H??40??
????,??,2025-11-21 12:00,2025-11-21 15:30,85781.62,84055.52,87325.69,84047.12,??,95.66,3.50,4H??40??
????,??,2025-11-21 16:00,2025-11-21 17:45,83991.60,82301.52,85503.45,82293.29,??,95.66,1.75,4H??40??
????,??,2025-12-02 00:00,2025-12-02 05:15,84628.44,86151.75,86151.75,82917.25,????,-100.00,5.25,4H??40??
????,??,2025-12-15 08:00,2025-12-15 10:15,88105.69,89691.59,89691.59,86324.19,????,-100.00,2.25,4H??40??
????,??,2025-12-16 00:00,2025-12-16 02:30,86975.70,85225.57,88541.26,85217.05,??,95.66,2.50,4H??40??
????,??,2025-12-16 04:00,2025-12-16 21:30,86087.69,87637.27,87637.27,84347.00,????,-100.00,17.50,4H??40??
????,??,2025-12-19 04:00,2025-12-19 11:00,84424.56,85944.20,85944.20,82717.49,????,-100.00,7.00,4H??40??
????,??,2026-01-04 12:00,2026-01-05 09:30,91203.72,93038.55,89562.05,93047.86,??,95.54,21.50,4H??40??
????,??,2026-01-05 12:00,2026-01-06 04:15,92853.38,94721.41,91182.02,94730.88,??,95.54,16.25,4H??40??
????,??,2026-01-06 00:00,2026-01-07 01:30,93918.39,92227.86,92227.86,95817.42,????,-100.00,25.50,4H??40??
????,??,2026-01-06 04:00,2026-01-07 00:30,94254.42,92557.84,92557.84,96160.25,????,-100.00,20.50,4H??40??
????,??,2026-01-14 04:00,2026-01-14 06:00,94190.42,96085.34,92494.99,96094.95,??,95.54,2.00,4H??40??
????,??,2026-01-14 08:00,2026-01-15 00:00,95403.74,97323.07,93686.47,97332.80,??,95.54,16.00,4H??40??
????,??,2026-01-15 04:00,2026-01-15 23:45,97222.92,95472.91,95472.91,99188.77,????,-100.00,19.75,4H??40??
????,??,2026-01-21 04:00,2026-01-21 06:30,89670.93,87866.57,91285.01,87857.79,??,95.66,2.50,4H??40??
????,??,2026-01-21 08:00,2026-01-21 13:45,88378.46,89969.27,89969.27,86591.45,????,-100.00,5.75,4H??40??
????,??,2026-01-26 04:00,2026-01-26 15:15,86456.25,88012.47,88012.47,84708.11,????,-100.00,11.25,4H??40??
????,??,2026-01-30 00:00,2026-01-30 09:30,84893.01,83184.79,86421.08,83176.47,??,95.66,9.50,4H??40??
????,??,2026-01-30 04:00,2026-01-30 09:30,83959.80,82270.36,85471.08,82262.14,??,95.66,5.50,4H??40??
????,??,2026-01-30 12:00,2026-01-31 02:45,82623.54,84110.76,84110.76,80952.89,????,-100.00,14.75,4H??40??
????,??,2026-02-01 04:00,2026-02-01 07:15,77704.43,79103.11,79103.11,76133.25,????,-100.00,3.25,4H??40??
????,??,2026-02-05 12:00,2026-02-05 20:15,71187.78,69755.34,72469.16,69748.36,??,95.66,8.25,4H??40??
????,??,2026-02-05 16:00,2026-02-05 20:15,70710.03,69287.20,71982.81,69280.27,??,95.66,4.25,4H??40??
????,??,2026-02-06 00:00,2026-02-06 02:15,67449.75,66092.53,68663.85,66085.92,??,95.66,2.25,4H??40??
????,??,2026-02-06 04:00,2026-02-06 04:15,65234.18,63921.53,66408.39,63915.14,??,95.66,0.25,4H??40??
????,??,2026-02-06 08:00,2026-02-06 08:00,62867.31,61602.30,63998.92,61596.14,??,95.66,0.00,4H??40??
????,??,2026-02-23 12:00,2026-02-23 17:30,64892.71,66060.78,66060.78,63580.58,????,-100.00,5.50,4H??40??
????,??,2026-02-24 12:00,2026-02-25 03:00,63555.84,64699.85,64699.85,62270.74,????,-100.00,15.00,4H??40??
????,??,2026-02-24 16:00,2026-02-25 00:00,63153.98,64290.76,64290.76,61877.01,????,-100.00,8.00,4H??40??
????,??,2026-03-04 20:00,2026-03-04 22:30,71095.51,72525.81,69815.79,72533.06,??,95.54,2.50,4H??40??
????,??,2026-03-05 00:00,2026-03-05 14:00,73359.54,72039.06,72039.06,74842.87,????,-100.00,14.00,4H??40??
????,??,2026-03-05 04:00,2026-03-05 13:45,73594.76,72270.05,72270.05,75082.84,????,-100.00,9.75,4H??40??
????,??,2026-03-13 20:00,2026-03-13 22:15,72207.22,73659.88,70907.49,73667.25,??,95.54,2.25,4H??40??
????,??,2026-03-17 08:00,2026-03-17 21:45,74849.68,73502.39,73502.39,76363.14,????,-100.00,13.75,4H??40??
????,??,2026-03-22 20:00,2026-03-23 19:00,68175.28,69402.44,69402.44,66796.78,????,-100.00,23.00,4H??40??
????,??,2026-03-23 08:00,2026-03-23 19:00,67824.12,69044.95,69044.95,66452.71,????,-100.00,11.00,4H??40??
????,??,2026-03-27 20:00,2026-03-30 06:45,66653.23,65312.04,67852.99,65305.51,??,95.66,58.75,4H??40??
????,??,2026-03-28 00:00,2026-03-28 23:15,66084.89,67274.42,67274.42,64748.65,????,-100.00,23.25,4H??40??
????,??,2026-04-06 20:00,2026-04-07 07:00,69599.36,68346.57,68346.57,71006.66,????,-100.00,11.00,4H??40??
????,??,2026-04-08 08:00,2026-04-09 08:45,71911.89,70617.48,70617.48,73365.95,????,-100.00,24.75,4H??40??
