win,ret,dd,pf,trades,liq,window,prox,rsi_low,rsi_high,mode,wick,stop_frac,tp_r,final
86.36363636363636,9.223797517971576,4.544319258759528,1.9069130510191432,22,0,80,0.005,35,65,4,0.5,0.7,0.35,1092.2379751797157
86.36363636363636,5.992122143755818,11.268649557067784,1.2604520030795836,44,1,120,0.02,42,58,3,0.4,0.8,0.25,1059.9212214375582
86.36363636363636,5.992122143755818,11.268649557067784,1.2604520030795836,44,1,120,0.02,42,58,4,0.4,0.8,0.25,1059.9212214375582
86.36363636363636,3.6827766678577234,7.2781899427795675,1.3211122881243098,22,0,40,0.008,38,62,3,0.6,0.8,0.25,1036.8277666785773
86.36363636363636,3.6827766678577234,7.2781899427795675,1.3211122881243098,22,0,40,0.008,38,62,4,0.6,0.8,0.25,1036.8277666785773
86.36363636363636,3.6792149983414735,5.808398450089664,1.3327184147877649,22,0,120,0.008,38,62,3,0.5,0.8,0.25,1036.7921499834147
86.36363636363636,3.6792149983414735,5.808398450089664,1.3327184147877649,22,0,120,0.008,38,62,4,0.5,0.8,0.25,1036.7921499834147
86.36363636363636,3.6781143318949994,7.137954924128767,1.321445182289183,22,0,60,0.03,35,65,3,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.321445182289183,22,0,60,0.03,35,65,4,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.3214451822891824,22,0,60,0.02,35,65,3,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.3214451822891824,22,0,60,0.02,35,65,4,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.3214451822891824,22,0,80,0.02,35,65,3,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.3214451822891824,22,0,80,0.02,35,65,4,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.3214451822891824,22,0,80,0.03,35,65,3,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.6781143318949994,7.137954924128767,1.3214451822891824,22,0,80,0.03,35,65,4,0.6,0.8,0.25,1036.78114331895
86.36363636363636,3.678114331894977,9.304946285309768,1.324774498194783,22,0,120,0.03,38,62,3,0.6,0.8,0.25,1036.7811433189497
86.36363636363636,3.678114331894977,9.304946285309768,1.324774498194783,22,0,120,0.03,38,62,4,0.6,0.8,0.25,1036.7811433189497
86.36363636363636,3.6770136771333117,7.278189942779559,1.3146576193800468,22,0,80,0.008,42,58,3,0.6,0.8,0.25,1036.7701367713332
86.36363636363636,3.6770136771333117,7.278189942779559,1.3146576193800468,22,0,80,0.008,42,58,4,0.6,0.8,0.25,1036.7701367713332
86.36363636363636,3.6770136771333117,7.278189942779559,1.3146576193800468,22,0,80,0.008,45,55,3,0.6,0.8,0.25,1036.7701367713332
86.36363636363636,3.6770136771333117,7.278189942779559,1.3146576193800468,22,0,80,0.008,45,55,4,0.6,0.8,0.25,1036.7701367713332
86.36363636363636,2.92759476977531,5.779239770360777,1.291769716480428,22,0,80,0.012,35,65,3,0.6,0.7,0.25,1029.275947697753
86.36363636363636,2.92759476977531,5.779239770360777,1.291769716480428,22,0,80,0.012,35,65,4,0.6,0.7,0.25,1029.275947697753
86.36363636363636,2.9266388774042307,5.7801148020381925,1.29167624221354,22,0,120,0.03,35,65,3,0.6,0.7,0.25,1029.2663887740423
86.36363636363636,2.9266388774042307,5.7801148020381925,1.29167624221354,22,0,120,0.03,35,65,4,0.6,0.7,0.25,1029.2663887740423
86.27450980392157,6.9904638577168665,8.574700838409989,1.2594573238328548,51,1,80,0.012,35,65,1,0.0,0.8,0.25,1069.9046385771687
86.27450980392157,6.9904638577168665,8.574700838409989,1.2594573238328548,51,1,80,0.012,35,65,2,0.0,0.8,0.25,1069.9046385771687
86.20689655172413,8.006505357428706,8.883652962608329,1.2588661662335692,58,1,40,0.012,35,65,1,0.0,0.8,0.25,1080.065053574287
86.20689655172413,8.006505357428706,8.883652962608329,1.2588661662335692,58,1,40,0.012,35,65,2,0.0,0.8,0.25,1080.065053574287
86.20689655172413,4.664073077273212,9.300867788962659,1.3111998971570957,29,0,40,0.005,38,62,3,0.5,0.8,0.25,1046.640730772732
86.20689655172413,4.664073077273212,9.300867788962659,1.3111998971570957,29,0,40,0.005,38,62,4,0.5,0.8,0.25,1046.640730772732
86.20689655172413,4.660477698652876,5.80839845008965,1.3115605076668608,29,0,40,0.008,35,65,3,0.5,0.8,0.25,1046.6047769865288
86.20689655172413,4.660477698652876,5.80839845008965,1.3115605076668608,29,0,40,0.008,35,65,4,0.5,0.8,0.25,1046.6047769865288
86.20689655172413,4.656882443539545,8.587970101613553,1.3173529373143844,29,0,80,0.012,35,65,3,0.5,0.8,0.25,1046.5688244353955
86.20689655172413,4.656882443539545,8.587970101613553,1.3173529373143844,29,0,80,0.012,35,65,4,0.5,0.8,0.25,1046.5688244353955
86.20689655172413,4.655771398100983,8.588940538688306,1.3172788721411217,29,0,120,0.03,35,65,3,0.5,0.8,0.25,1046.5577139810098
86.20689655172413,4.655771398100983,8.588940538688306,1.3172788721411217,29,0,120,0.03,35,65,4,0.5,0.8,0.25,1046.5577139810098
86.20689655172413,3.201671455443922,9.721726746163723,1.2051728473585186,29,1,120,0.016,35,65,3,0.4,0.8,0.25,1032.0167145544392
86.20689655172413,3.201671455443922,9.721726746163723,1.2051728473585186,29,1,120,0.016,35,65,4,0.4,0.8,0.25,1032.0167145544392
86.15384615384616,9.025250977266452,10.168622273941908,1.2595003448627422,65,1,60,0.03,35,65,1,0.0,0.8,0.25,1090.2525097726646
86.15384615384616,9.025250977266452,10.168622273941908,1.2595003448627422,65,1,60,0.03,35,65,2,0.0,0.8,0.25,1090.2525097726646
86.11111111111111,4.45689124505293,6.355382862217118,1.272670549974832,36,0,120,0.03,38,62,3,0.5,0.7,0.25,1044.5689124505293
